date_obj,Holy%20sandals price
2018-10-16,665035
2018-10-17,670878
2018-10-18,668139
2018-10-19,669266
2018-10-20,671694
2018-10-21,669090
2018-10-22,659495
2018-10-23,652934
2018-10-24,637593
2018-10-25,632393
2018-10-26,634587
2018-10-27,625341
2018-10-28,624281
2018-10-29,620081
2018-10-30,610561
2018-10-31,607089
2018-11-01,594895
2018-11-03,587007
2018-11-04,585938
2018-11-05,586515
2018-11-06,583197
2018-11-07,574040
2018-11-08,594382
2018-11-09,596208
2018-11-10,608347
2018-11-11,617415
2018-11-12,630464
2018-11-13,644706
2018-11-14,657433
2018-11-15,686373
2018-11-16,720599
2018-11-17,749575
2018-11-18,780355
2018-11-19,817460
2018-11-20,853890
2018-11-21,894863
2018-11-22,913480
2018-11-23,892059
2018-11-24,880294
2018-11-25,852814
2018-11-26,829151
2018-11-27,798593
2018-11-28,770444
2018-11-29,768642
2018-12-01,787473
2018-12-02,822237
2018-12-03,840137
2018-12-04,863808
2018-12-05,884293
2018-12-07,971876
2018-12-09,1054872
2018-12-10,1080793
2018-12-11,1053069
2018-12-12,1036971
2018-12-13,1040742
2018-12-14,1060989
2018-12-15,1063480
2018-12-16,1057519
2018-12-17,1056303
2018-12-18,1038323
2018-12-19,1048818
2018-12-20,1076975
2018-12-21,1130310
2018-12-22,1186683
2018-12-23,1246018
2018-12-24,1308319
2018-12-25,1373735
2018-12-26,1442422
2018-12-27,1514544
2018-12-28,1590272
2018-12-29,1669786
2018-12-30,1753078
2018-12-31,1840695
2019-01-01,1890448
2019-01-02,1915506
2019-01-03,1855139
2019-01-04,1762382
2019-01-05,1674262
2019-01-06,1590548
2019-01-08,1435469
2019-01-10,1295561
2019-01-11,1230782
2019-01-12,1169242
2019-01-13,1110779
2019-01-14,1055240
2019-01-15,1002554
2019-01-16,952426
2019-01-17,904810
2019-01-18,859877
2019-01-19,836508
2019-01-20,803439
2019-01-22,751650
2019-01-23,744669
2019-01-24,738129
2019-01-25,759603
2019-01-26,779788
2019-01-29,872299
2019-01-30,908492
2019-01-31,890349
2019-02-01,865246
2019-02-02,833702
2019-02-03,820677
2019-02-04,817749
2019-02-05,818425
2019-02-06,828479
2019-02-07,830117
2019-02-08,826278
2019-02-09,832364
2019-02-10,866896
2019-02-11,889389
2019-02-12,930373
2019-02-13,926058
2019-02-14,892800
2019-02-15,870060
2019-02-16,857366
2019-02-17,843336
2019-02-18,855530
2019-02-19,837074
