date_obj,Ruby price
2019-02-22,1007
2019-02-23,1012
2019-02-24,1022
2019-02-25,1024
2019-02-26,1034
2019-02-27,1027
2019-02-28,1024
2019-03-01,1023
2019-03-02,1020
2019-03-03,1029
2019-03-04,1025
2019-03-05,1027
2019-03-06,1023
2019-03-07,1018
2019-03-08,1016
2019-03-09,1017
2019-03-10,1019
2019-03-11,1021
2019-03-12,1018
2019-03-13,1010
2019-03-14,998
2019-03-15,999
2019-03-16,998
2019-03-17,1002
2019-03-18,1004
2019-03-19,1011
2019-03-20,1005
2019-03-21,1014
2019-03-22,1010
2019-03-23,997
2019-03-24,1004
2019-03-25,1007
2019-03-26,997
2019-03-27,999
2019-03-28,999
2019-03-29,991
2019-03-30,971
2019-03-31,984
2019-04-01,975
2019-04-02,967
2019-04-03,967
2019-04-04,972
2019-04-05,980
2019-04-06,984
2019-04-07,981
2019-04-08,980
2019-04-09,974
2019-04-10,972
2019-04-11,967
2019-04-12,969
2019-04-13,972
2019-04-14,976
2019-04-15,979
2019-04-16,983
2019-04-17,974
2019-04-18,960
2019-04-19,956
2019-04-20,952
2019-04-21,941
2019-04-22,936
2019-04-23,946
