date_obj,Light%20trousers price
2017-12-27,1474980
2017-12-28,1474980
2017-12-29,1474980
2017-12-30,1474980
2017-12-31,1474980
2018-01-01,1402426
2018-01-02,1402426
2018-01-03,1402426
2018-01-04,1402426
2018-01-05,1402426
2018-01-06,1402426
2018-01-07,1402426
2018-01-08,1402426
2018-01-09,1402426
2018-01-10,1402426
2018-01-11,1402426
2018-01-12,1402426
2018-01-13,1402426
2018-01-14,1402426
2018-01-15,1402426
2018-01-16,1402426
2018-01-17,1402426
2018-01-18,1402426
2018-01-19,1402426
2018-01-20,1402426
2018-01-21,1402426
2018-01-22,1402426
2018-01-23,1402426
2018-01-25,1332304
2018-01-26,1332304
2018-01-27,1332304
2018-01-28,1332304
2018-01-29,1332304
2018-01-31,1332304
2018-02-01,1332304
2018-02-02,1332304
2018-02-03,1332304
2018-02-04,1332304
2018-02-05,1332304
2018-02-06,1332304
2018-02-07,1266723
2018-02-08,1266723
2018-02-09,1266723
2018-02-10,1266723
2018-02-11,1266723
2018-02-12,1266723
2018-02-13,1266723
2018-02-14,1205448
2018-02-15,1205448
2018-02-16,1205448
2018-02-17,1205448
2018-02-18,1147206
2018-02-19,1147206
2018-02-20,1147206
2018-02-21,1147206
2018-02-22,1147206
2018-02-23,1147206
2018-02-24,1091252
2018-02-25,1091252
2018-02-26,1091252
2018-02-27,1091252
2018-02-28,1091252
2018-03-01,1091252
2018-03-02,1038726
2018-03-03,1038726
2018-03-04,1038726
2018-03-05,1038726
2018-03-06,989882
2018-03-07,989882
2018-03-08,989882
2018-03-09,989882
2018-03-10,989882
2018-03-11,943719
2018-03-12,943719
2018-03-13,943719
2018-03-14,943719
2018-03-15,943719
2018-03-16,943719
2018-03-17,943719
2018-03-18,943719
2018-03-19,943719
2018-03-20,897879
2018-03-21,897879
2018-03-23,897879
2018-03-24,897879
2018-03-25,897879
2018-03-26,897879
2018-03-27,897879
2018-03-28,897879
2018-03-29,854107
2018-03-30,854107
2018-03-31,854107
2018-04-01,854107
2018-04-02,854107
2018-04-03,854107
2018-04-04,854107
2018-04-05,854107
2018-04-06,854107
2018-04-07,854107
2018-04-08,854107
2018-04-09,854107
2018-04-10,854107
2018-04-11,814405
2018-04-12,814405
2018-04-13,814405
2018-04-14,814405
2018-04-15,814405
2018-04-16,814405
2018-04-17,814405
2018-04-18,814405
2018-04-19,814405
2018-04-20,814405
2018-04-21,814405
2018-04-22,814405
2018-04-23,775303
2018-04-24,775303
2018-04-25,775303
2018-04-26,775303
2018-04-27,775303
2018-04-28,775303
2018-04-29,775303
2018-04-30,775303
2018-05-01,775303
2018-05-04,775303
2018-05-05,775303
2018-05-06,775303
2018-05-08,737857
2018-05-09,737857
2018-05-10,737857
2018-05-11,737857
2018-05-12,737857
2018-05-13,737857
2018-05-14,737857
2018-05-15,737857
2018-05-16,737857
2018-05-17,737857
2018-05-18,737857
2018-05-19,737857
2018-05-20,737857
2018-05-21,701578
2018-05-22,701578
2018-05-23,701578
2018-05-24,701578
2018-05-25,701578
2018-05-26,701578
2018-05-27,701578
2018-05-28,701578
2018-05-29,701578
2018-05-30,701578
2018-05-31,701578
2018-06-01,701578
2018-06-02,701578
2018-06-03,668756
2018-06-04,668756
2018-06-05,668756
2018-06-06,668756
2018-06-07,668756
2018-06-08,668756
2018-06-09,668756
2018-06-10,668756
2018-06-11,668756
2018-06-12,668756
2018-06-13,668756
2018-06-14,668756
2018-06-15,668756
2018-06-16,668756
2018-06-17,668756
2018-06-18,668756
2018-06-19,636083
2018-06-20,636083
2018-06-21,636083
2018-06-22,636083
2018-06-23,636083
2018-06-24,636083
2018-06-25,636083
2018-06-26,636083
2018-06-27,636083
2018-06-28,636083
2018-06-29,636083
2018-06-30,636083
2018-07-01,636083
2018-07-02,605121
2018-07-03,605121
2018-07-04,605121
2018-07-05,605121
2018-07-06,605121
2018-07-07,605121
2018-07-08,605121
2018-07-09,605121
2018-07-10,605121
2018-07-11,605121
2018-07-12,605121
2018-07-13,605121
2018-07-14,605121
2018-07-15,605121
2018-07-16,605121
2018-07-17,605121
2018-07-18,605121
2018-07-19,605121
2018-07-20,605121
2018-07-21,605121
2018-07-22,605121
2018-07-23,605121
2018-07-24,576149
2018-07-25,576149
2018-07-26,576149
2018-07-27,576149
2018-07-28,576149
2018-07-29,576149
2018-07-30,576149
2018-07-31,576149
2018-08-01,576149
2018-08-02,547828
2018-08-03,547828
2018-08-04,547828
2018-08-05,547828
2018-08-06,547828
2018-08-07,547828
2018-08-08,547828
2018-08-09,547828
2018-08-10,547828
2018-08-11,547828
2018-08-12,547828
2018-08-14,520952
2018-08-16,520952
2018-08-17,520952
2018-08-18,520952
2018-08-19,520952
2018-08-20,520952
2018-08-21,520952
2018-08-22,520952
2018-08-23,520952
2018-08-24,520952
2018-08-25,520952
2018-08-26,520952
2018-08-27,496344
2018-08-28,496344
2018-08-29,496344
2018-08-30,496344
2018-08-31,496344
2018-09-01,496344
2018-09-02,496344
2018-09-03,496344
2018-09-04,496344
2018-09-05,496344
2018-09-06,496344
2018-09-07,496344
2018-09-08,475555
2018-09-09,475555
2018-09-10,475555
2018-09-11,475555
2018-09-12,475555
2018-09-13,475555
2018-09-14,475555
2018-09-15,475555
2018-09-16,475555
2018-09-17,475555
2018-09-18,475555
2018-09-19,475555
2018-09-20,455362
2018-09-21,455362
2018-09-22,455362
2018-09-23,455362
2018-09-24,455362
2018-09-25,455362
2018-09-26,455362
2018-09-27,455362
2018-09-28,455362
2018-09-29,455362
2018-09-30,455362
2018-10-02,436723
2018-10-03,436723
2018-10-04,436723
2018-10-05,436723
2018-10-06,436723
2018-10-07,436723
2018-10-08,436723
2018-10-09,436723
2018-10-10,436723
2018-10-11,436723
2018-10-12,436723
2018-10-13,439043
2018-10-14,439043
2018-10-15,439043
2018-10-16,439043
2018-10-17,439043
2018-10-18,439043
2018-10-19,439043
2018-10-20,439043
2018-10-21,439043
2018-10-22,439043
2018-10-23,439043
2018-10-24,439043
2018-10-25,439043
2018-10-26,419487
2018-10-27,419487
2018-10-28,419487
2018-10-29,419487
2018-10-30,419487
