date_obj,Tribal%20top%20(blue) price
2018-05-05,4763
2018-05-06,4763
2018-05-07,4763
2018-05-08,4763
2018-05-09,4783
2018-05-10,4783
2018-05-11,4783
2018-05-12,4783
2018-05-13,4783
2018-05-14,4783
2018-05-15,4783
2018-05-16,4783
2018-05-17,4796
2018-05-18,4796
2018-05-19,4796
2018-05-20,4796
2018-05-21,4796
2018-05-22,4796
2018-05-23,4773
2018-05-24,4773
2018-05-25,4773
2018-05-26,4773
2018-05-27,4773
2018-05-28,4773
2018-05-29,4726
2018-05-30,4726
2018-05-31,4726
2018-06-01,4726
2018-06-02,4726
2018-06-03,4726
2018-06-04,4723
2018-06-05,4723
2018-06-06,4723
2018-06-07,4723
2018-06-08,4723
2018-06-09,4723
2018-06-10,4509
2018-06-11,4509
2018-06-12,4509
2018-06-13,4509
2018-06-14,4509
2018-06-15,4635
2018-06-16,4635
2018-06-17,4635
2018-06-18,4635
2018-06-19,4635
2018-06-20,4635
2018-06-21,4708
2018-06-22,4708
2018-06-23,4708
2018-06-24,4708
2018-06-25,4708
2018-06-26,4708
2018-06-27,4738
2018-06-28,4738
2018-06-29,4738
2018-06-30,4738
2018-07-01,4738
2018-07-02,4738
2018-07-03,4745
2018-07-04,4745
2018-07-05,4745
2018-07-06,4745
2018-07-07,4745
2018-07-08,4745
2018-07-09,4745
2018-07-10,4716
2018-07-11,4716
2018-07-12,4716
2018-07-13,4716
2018-07-14,4716
2018-07-15,4716
2018-07-16,4716
2018-07-17,4756
2018-07-18,4756
2018-07-19,4756
2018-07-20,4756
2018-07-21,4756
2018-07-22,4756
2018-07-23,4754
2018-07-24,4754
2018-07-25,4754
2018-07-26,4754
2018-07-27,4754
2018-07-28,4754
2018-07-29,4968
2018-07-30,4968
2018-07-31,4968
2018-08-01,4968
2018-08-02,4968
2018-08-03,4968
2018-08-04,5101
2018-08-05,5101
2018-08-06,5101
2018-08-07,5101
2018-08-08,5101
2018-08-09,5101
2018-08-10,5227
2018-08-11,5227
2018-08-12,5227
2018-08-14,5227
2018-08-16,5118
2018-08-17,5118
2018-08-18,5118
2018-08-19,5118
2018-08-20,5118
2018-08-21,5185
2018-08-22,5185
2018-08-23,5185
2018-08-24,5185
2018-08-25,5185
2018-08-26,5147
2018-08-27,5147
2018-08-28,5147
2018-08-29,5147
2018-08-30,5147
2018-08-31,5204
2018-09-01,5204
2018-09-02,5204
2018-09-03,5204
2018-09-04,5204
2018-09-05,5166
2018-09-06,5166
2018-09-07,5166
2018-09-08,5166
2018-09-09,5166
2018-09-10,5365
2018-09-11,5365
2018-09-12,5365
2018-09-13,5365
2018-09-14,5365
2018-09-15,5365
2018-09-16,5468
2018-09-17,5468
2018-09-18,5468
2018-09-19,5468
2018-09-20,5468
2018-09-21,5652
2018-09-22,5652
2018-09-23,5652
2018-09-24,5652
2018-09-25,5652
2018-09-26,5420
2018-09-27,5420
2018-09-28,5420
2018-09-29,5420
2018-09-30,5420
2018-10-02,5425
2018-10-03,5425
2018-10-04,5425
2018-10-05,5425
2018-10-06,5166
2018-10-07,5166
2018-10-08,5166
2018-10-09,5166
2018-10-10,5166
2018-10-11,5166
2018-10-12,5302
2018-10-13,5302
2018-10-14,5302
2018-10-15,5302
2018-10-16,5302
2018-10-17,5429
2018-10-18,5429
2018-10-19,5429
2018-10-20,5429
2018-10-21,5429
2018-10-22,5429
2018-10-23,5429
2018-10-24,5429
2018-10-25,5463
2018-10-26,5463
2018-10-27,5463
2018-10-28,5463
2018-10-29,5463
2018-10-30,5463
2018-10-31,5518
2018-11-01,5518
2018-11-03,5518
2018-11-04,5485
2018-11-05,5485
2018-11-06,5485
2018-11-07,5595
2018-11-08,5595
2018-11-09,5595
2018-11-10,5507
2018-11-11,5507
2018-11-12,5507
2018-11-13,5505
2018-11-14,5505
2018-11-15,5505
2018-11-16,5229
2018-11-17,5229
2018-11-18,5229
2018-11-19,5229
2018-11-20,5017
2018-11-21,5017
2018-11-22,5017
2018-11-23,5090
2018-11-24,5090
2018-11-25,5090
2018-11-26,5235
2018-11-27,5235
2018-11-28,5235
2018-11-29,5173
2018-12-01,5173
2018-12-02,5019
2018-12-03,5019
2018-12-04,5019
2018-12-05,5019
2018-12-07,4965
2018-12-09,4965
2018-12-10,5121
2018-12-11,5121
2018-12-12,5121
2018-12-13,5121
2018-12-14,5184
2018-12-15,5184
2018-12-16,5184
2018-12-17,5184
2018-12-18,5128
2018-12-19,5128
2018-12-20,5128
2018-12-21,5128
2018-12-22,5128
2018-12-23,5277
2018-12-24,5277
2018-12-25,5277
