date_obj,Earth%20talisman price
2018-12-16,251
2018-12-17,251
2018-12-18,256
2018-12-19,260
2018-12-20,253
2018-12-21,249
2018-12-22,256
2018-12-23,247
2018-12-24,234
2018-12-25,222
2018-12-26,210
2018-12-27,208
2018-12-28,213
2018-12-29,223
2018-12-30,231
2018-12-31,236
2019-01-01,245
2019-01-02,241
2019-01-03,232
2019-01-04,227
2019-01-05,222
2019-01-06,215
2019-01-08,230
2019-01-10,233
2019-01-11,234
2019-01-12,233
2019-01-13,239
2019-01-14,248
2019-01-15,261
2019-01-16,273
2019-01-17,286
2019-01-18,291
2019-01-19,289
2019-01-20,296
2019-01-21,301
2019-01-22,307
2019-01-23,308
2019-01-24,316
2019-01-25,324
2019-01-26,320
2019-01-27,304
2019-01-28,289
2019-01-29,294
2019-01-30,304
2019-01-31,313
2019-02-01,321
2019-02-02,315
2019-02-03,314
2019-02-04,305
2019-02-05,298
2019-02-06,283
2019-02-07,269
2019-02-08,259
2019-02-09,250
2019-02-10,248
2019-02-11,254
2019-02-12,266
2019-02-13,280
2019-02-14,293
2019-02-15,308
2019-02-16,324
2019-02-17,341
2019-02-18,359
2019-02-19,372
2019-02-20,383
2019-02-21,391
2019-02-22,377
2019-02-23,364
2019-02-24,357
2019-02-25,342
2019-02-26,336
2019-02-27,331
2019-02-28,345
2019-03-01,340
2019-03-02,329
2019-03-03,318
2019-03-04,309
2019-03-05,301
2019-03-06,307
2019-03-07,310
2019-03-08,300
2019-03-09,289
2019-03-10,275
2019-03-11,269
2019-03-12,264
2019-03-13,264
2019-03-14,261
2019-03-15,254
2019-03-16,247
2019-03-17,239
2019-03-18,245
2019-03-19,238
2019-03-20,244
2019-03-21,243
2019-03-22,245
2019-03-23,247
2019-03-24,246
2019-03-25,250
2019-03-26,251
2019-03-27,242
2019-03-28,234
2019-03-29,236
2019-03-30,237
2019-03-31,240
2019-04-01,243
2019-04-02,246
2019-04-03,250
2019-04-04,254
2019-04-05,254
2019-04-06,259
2019-04-07,261
2019-04-08,257
2019-04-09,252
2019-04-10,251
2019-04-11,252
2019-04-12,254
2019-04-13,252
2019-04-14,249
2019-04-15,246
2019-04-16,255
2019-04-17,265
2019-04-18,276
2019-04-19,287
2019-04-20,291
2019-04-21,288
2019-04-22,290
2019-04-23,300
2019-04-24,289
2019-04-25,300
2019-04-26,314
2019-04-27,313
2019-04-28,305
2019-04-29,317
2019-04-30,329
2019-05-01,341
2019-05-02,348
2019-05-03,364
2019-05-04,381
2019-05-05,396
2019-05-06,390
2019-05-07,381
2019-05-08,361
2019-05-09,342
2019-05-10,326
2019-05-11,312
2019-05-12,297
2019-05-13,293
2019-05-14,288
2019-05-15,288
2019-05-16,295
2019-05-17,304
2019-05-18,309
