date_obj,Rune%20dagger price
2018-03-05,4565
2018-03-06,4581
2018-03-07,4589
2018-03-08,4562
2018-03-09,4551
2018-03-10,4539
2018-03-11,4556
2018-03-12,4568
2018-03-13,4587
2018-03-14,4599
2018-03-15,4593
2018-03-16,4568
2018-03-17,4581
2018-03-18,4596
2018-03-19,4600
2018-03-20,4593
2018-03-21,4601
2018-03-23,4594
2018-03-24,4581
2018-03-26,4579
2018-03-27,4581
2018-03-28,4516
2018-03-29,4538
2018-03-30,4541
2018-03-31,4538
2018-04-01,4553
2018-04-02,4541
2018-04-03,4565
2018-04-04,4562
2018-04-05,4575
2018-04-06,4574
2018-04-08,4579
2018-04-09,4579
2018-04-10,4596
2018-04-11,4563
2018-04-12,4580
2018-04-13,4570
2018-04-14,4564
2018-04-15,4560
2018-04-16,4585
2018-04-17,4585
2018-04-18,4582
2018-04-19,4584
2018-04-20,4577
2018-04-21,4573
2018-04-22,4542
2018-04-23,4564
2018-04-24,4573
2018-04-25,4563
2018-04-26,4562
2018-04-27,4546
2018-04-28,4540
2018-04-29,4554
2018-04-30,4567
2018-05-01,4582
2018-05-02,4565
2018-05-03,4592
2018-05-04,4583
2018-05-05,4570
2018-05-06,4571
2018-05-07,4578
2018-05-08,4581
2018-05-09,4588
2018-05-10,4562
2018-05-11,4573
2018-05-12,4576
2018-05-13,4573
2018-05-14,4577
2018-05-15,4583
2018-05-16,4572
2018-05-17,4561
2018-05-18,4569
2018-05-19,4556
2018-05-20,4548
2018-05-21,4565
2018-05-22,4566
2018-05-23,4580
2018-05-24,4588
2018-05-25,4570
2018-05-26,4586
2018-05-27,4587
2018-05-28,4596
2018-05-29,4601
2018-05-30,4597
2018-05-31,4602
2018-06-01,4581
2018-06-02,4592
2018-06-03,4583
2018-06-04,4585
2018-06-05,4589
2018-06-06,4580
2018-06-07,4562
2018-06-08,4558
2018-06-09,4548
2018-06-10,4562
2018-06-11,4574
2018-06-12,4573
2018-06-13,4576
2018-06-14,4575
2018-06-15,4553
2018-06-16,4530
2018-06-17,4532
2018-06-18,4562
2018-06-19,4572
2018-06-20,4576
2018-06-21,4563
2018-06-22,4541
2018-06-23,4548
2018-06-24,4565
2018-06-25,4556
2018-06-26,4570
2018-06-27,4585
2018-06-28,4570
2018-06-29,4572
2018-06-30,4582
2018-07-01,4591
2018-07-02,4579
2018-07-03,4566
2018-07-04,4574
2018-07-05,4568
2018-07-06,4558
2018-07-07,4523
2018-07-08,4546
2018-07-09,4565
2018-07-10,4579
2018-07-11,4571
2018-07-12,4569
2018-07-13,4561
2018-07-14,4557
2018-07-15,4569
2018-07-16,4582
2018-07-17,4580
2018-07-18,4570
2018-07-19,4596
2018-07-20,4582
2018-07-21,4578
2018-07-22,4580
2018-07-23,4580
2018-07-24,4573
2018-07-25,4566
2018-07-26,4543
2018-07-27,4569
2018-07-28,4540
2018-07-29,4540
2018-07-30,4555
2018-07-31,4548
2018-08-01,4538
2018-08-02,4542
2018-08-03,4555
2018-08-04,4533
2018-08-05,4529
2018-08-06,4529
2018-08-07,4531
2018-08-08,4528
2018-08-09,4509
2018-08-10,4508
2018-08-11,4509
2018-08-12,4528
2018-08-14,4526
2018-08-16,4493
2018-08-17,4508
2018-08-18,4512
2018-08-19,4515
2018-08-20,4533
2018-08-21,4539
2018-08-22,4553
2018-08-23,4550
2018-08-24,4511
2018-08-25,4516
2018-08-26,4521
2018-08-27,4542
2018-08-28,4542
2018-08-29,4567
2018-08-30,4568
2018-08-31,4555
2018-09-01,4521
2018-09-02,4502
2018-09-03,4523
2018-09-04,4539
2018-09-05,4545
2018-09-06,4537
2018-09-07,4520
2018-09-08,4534
2018-09-09,4541
2018-09-10,4553
2018-09-11,4561
2018-09-12,4543
2018-09-13,4559
2018-09-14,4556
2018-09-15,4552
2018-09-16,4547
2018-09-17,4558
2018-09-18,4531
2018-09-19,4524
2018-09-20,4541
2018-09-21,4550
2018-09-22,4536
2018-09-23,4531
2018-09-24,4550
2018-09-25,4551
2018-09-26,4544
2018-09-27,4553
2018-09-28,4530
2018-09-29,4507
2018-09-30,4502
2018-10-02,4523
2018-10-03,4502
2018-10-04,4481
2018-10-05,4520
2018-10-06,4509
2018-10-07,4525
2018-10-08,4543
2018-10-09,4539
2018-10-10,4519
2018-10-11,4503
2018-10-12,4520
2018-10-13,4527
2018-10-14,4547
2018-10-15,4531
2018-10-16,4538
2018-10-17,4539
2018-10-18,4549
2018-10-19,4540
2018-10-20,4556
2018-10-21,4524
2018-10-22,4513
2018-10-23,4539
2018-10-24,4547
2018-10-25,4546
2018-10-26,4545
2018-10-27,4550
2018-10-28,4540
2018-10-29,4536
2018-10-30,4549
2018-10-31,4557
2018-11-01,4557
2018-11-03,4538
2018-11-04,4543
2018-11-05,4537
2018-11-06,4551
2018-11-07,4533
2018-11-08,4557
2018-11-09,4561
2018-11-10,4538
2018-11-11,4532
2018-11-12,4517
2018-11-13,4517
2018-11-14,4493
2018-11-15,4497
2018-11-16,4506
2018-11-17,4459
2018-11-18,4489
2018-11-19,4507
2018-11-20,4496
2018-11-21,4499
2018-11-22,4493
2018-11-23,4508
2018-11-24,4521
2018-11-25,4523
2018-11-26,4526
2018-11-27,4535
2018-11-28,4529
2018-11-29,4496
2018-12-01,4524
2018-12-02,4530
2018-12-03,4525
2018-12-04,4525
2018-12-05,4516
2018-12-07,4522
2018-12-09,4539
2018-12-10,4542
2018-12-11,4538
2018-12-12,4532
2018-12-13,4536
2018-12-14,4528
2018-12-15,4517
2018-12-16,4533
2018-12-17,4550
2018-12-18,4532
2018-12-19,4520
2018-12-20,4541
2018-12-21,4536
2018-12-22,4554
2018-12-23,4523
2018-12-24,4537
2018-12-25,4511
2018-12-26,4530
2018-12-27,4511
2018-12-28,4526
2018-12-29,4503
2018-12-30,4503
2018-12-31,4509
2019-01-01,4457
2019-01-02,4468
2019-01-03,4518
2019-01-04,4528
2019-01-05,4513
2019-01-06,4505
2019-01-08,4512
2019-01-10,4513
2019-01-11,4520
2019-01-12,4515
2019-01-13,4520
2019-01-14,4518
2019-01-15,4512
2019-01-16,4507
2019-01-17,4512
2019-01-18,4520
2019-01-19,4517
2019-01-20,4517
2019-01-21,4537
2019-01-22,4504
2019-01-23,4502
2019-01-24,4530
2019-01-25,4527
2019-01-26,4524
2019-01-27,4524
2019-01-28,4538
2019-01-29,4510
2019-01-30,4516
2019-01-31,4529
2019-02-01,4509
2019-02-02,4492
2019-02-03,4515
2019-02-04,4544
2019-02-05,4527
2019-02-06,4519
2019-02-07,4531
2019-02-08,4505
2019-02-09,4519
2019-02-10,4520
2019-02-11,4518
2019-02-12,4537
2019-02-13,4521
2019-02-14,4506
2019-02-15,4514
2019-02-16,4512
2019-02-17,4507
2019-02-18,4518
2019-02-19,4552
2019-02-20,4531
2019-02-21,4513
2019-02-22,4506
2019-02-23,4511
2019-02-24,4523
2019-02-25,4531
2019-02-26,4531
2019-02-27,4535
2019-02-28,4558
2019-03-01,4539
2019-03-02,4554
2019-03-03,4552
2019-03-04,4521
2019-03-05,4564
2019-03-06,4582
2019-03-07,4598
2019-03-08,4578
2019-03-09,4578
2019-03-10,4541
2019-03-11,4546
2019-03-12,4530
2019-03-13,4497
2019-03-14,4512
2019-03-15,4480
2019-03-16,4529
2019-03-17,4512
2019-03-18,4494
2019-03-19,4533
2019-03-20,4544
2019-03-21,4533
2019-03-22,4555
2019-03-23,4535
2019-03-24,4530
2019-03-25,4512
2019-03-26,4540
2019-03-27,4555
