date_obj,Crushed%20nest price
2018-06-16,2877
2018-06-17,2884
2018-06-18,2876
2018-06-19,2848
2018-06-20,2834
2018-06-21,2826
2018-06-22,2796
2018-06-23,2752
2018-06-24,2753
2018-06-25,2750
2018-06-26,2658
2018-06-27,2644
2018-06-28,2637
2018-06-29,2561
2018-06-30,2501
2018-07-01,2418
2018-07-02,2357
2018-07-03,2311
2018-07-04,2289
2018-07-05,2354
2018-07-06,2462
2018-07-07,2559
2018-07-08,2682
2018-07-09,2640
2018-07-10,2576
2018-07-11,2510
2018-07-12,2418
2018-07-13,2408
2018-07-14,2351
2018-07-15,2347
2018-07-16,2334
2018-07-17,2301
2018-07-18,2299
2018-07-19,2316
2018-07-20,2343
2018-07-21,2366
2018-07-22,2305
2018-07-23,2239
2018-07-24,2221
2018-07-25,2201
2018-07-26,2205
2018-07-27,2182
2018-07-28,2196
2018-07-29,2213
2018-07-30,2204
2018-07-31,2152
2018-08-01,2054
2018-08-02,1994
2018-08-03,1948
2018-08-04,1903
2018-08-05,1860
2018-08-06,1841
2018-08-07,1805
2018-08-08,1747
2018-08-09,1712
2018-08-10,1744
2018-08-11,1707
2018-08-12,1715
2018-08-14,1650
2018-08-16,1696
2018-08-17,1740
2018-08-18,1736
2018-08-19,1759
2018-08-20,1776
2018-08-21,1736
2018-08-22,1745
2018-08-23,1689
2018-08-24,1663
2018-08-25,1635
2018-08-26,1664
2018-08-27,1647
2018-08-28,1638
2018-08-29,1647
2018-08-30,1646
2018-08-31,1641
2018-09-01,1632
2018-09-02,1640
2018-09-03,1640
2018-09-04,1565
2018-09-05,1491
2018-09-06,1461
2018-09-07,1410
2018-09-08,1434
2018-09-09,1444
2018-09-10,1468
2018-09-11,1522
2018-09-12,1531
2018-09-13,1558
2018-09-14,1597
2018-09-15,1587
2018-09-16,1526
2018-09-17,1517
2018-09-18,1457
2018-09-19,1392
2018-09-20,1355
2018-09-21,1366
2018-09-22,1397
2018-09-23,1403
2018-09-24,1455
2018-09-25,1493
2018-09-26,1524
2018-09-27,1527
2018-09-28,1548
2018-09-29,1568
2018-09-30,1622
2018-10-01,1675
2018-10-02,1759
2018-10-03,1847
2018-10-04,1936
2018-10-05,2021
2018-10-06,1979
2018-10-07,1900
2018-10-08,1868
2018-10-09,1874
2018-10-10,1862
2018-10-11,1908
2018-10-12,1872
2018-10-13,1868
2018-10-14,1868
2018-10-15,1867
2018-10-16,1854
2018-10-17,1833
2018-10-18,1779
2018-10-19,1739
2018-10-20,1756
2018-10-21,1746
2018-10-22,1712
2018-10-23,1660
2018-10-24,1619
2018-10-25,1593
2018-10-26,1547
2018-10-27,1507
2018-10-28,1517
2018-10-29,1456
2018-10-30,1431
2018-10-31,1437
2018-11-01,1460
2018-11-03,1469
2018-11-04,1448
2018-11-05,1432
2018-11-06,1420
2018-11-07,1413
2018-11-08,1465
2018-11-09,1498
2018-11-10,1453
2018-11-11,1393
2018-11-12,1391
2018-11-13,1432
2018-11-14,1446
2018-11-15,1517
2018-11-16,1593
2018-11-17,1673
2018-11-18,1757
2018-11-19,1845
2018-11-20,1938
2018-11-21,2034
2018-11-22,2136
2018-11-23,2243
2018-11-24,2356
2018-11-25,2474
2018-11-26,2598
2018-11-27,2725
2018-11-28,2862
2018-11-29,3001
2018-12-01,3040
2018-12-02,2954
2018-12-03,2809
2018-12-04,2693
2018-12-05,2562
2018-12-07,2378
2018-12-09,2297
2018-12-10,2356
2018-12-11,2464
2018-12-12,2588
2018-12-13,2703
2018-12-14,2657
2018-12-15,2585
2018-12-16,2466
2018-12-17,2501
2018-12-18,2584
2018-12-19,2570
2018-12-20,2613
2018-12-21,2662
2018-12-22,2725
2018-12-23,2702
2018-12-24,2635
2018-12-25,2569
2018-12-26,2540
2018-12-27,2566
2018-12-28,2584
2018-12-29,2586
2018-12-30,2545
2018-12-31,2539
2019-01-01,2537
2019-01-02,2539
2019-01-03,2517
2019-01-04,2544
2019-01-05,2509
2019-01-06,2517
2019-01-08,2502
2019-01-10,2435
2019-01-11,2315
2019-01-12,2222
2019-01-13,2141
2019-01-14,2148
2019-01-15,2243
2019-01-16,2347
2019-01-17,2391
2019-01-18,2354
2019-01-19,2328
2019-01-20,2286
2019-01-21,2306
2019-01-22,2374
2019-01-23,2451
2019-01-24,2497
2019-01-25,2562
2019-01-26,2600
2019-01-27,2654
2019-01-28,2618
2019-01-29,2594
2019-01-30,2600
2019-01-31,2616
2019-02-01,2696
2019-02-02,2712
2019-02-03,2744
2019-02-04,2760
2019-02-05,2724
2019-02-06,2733
2019-02-07,2840
2019-02-08,2848
2019-02-09,2815
2019-02-10,2941
2019-02-11,3070
2019-02-12,3058
2019-02-13,3092
2019-02-14,3061
2019-02-15,3064
2019-02-16,3008
2019-02-17,3018
2019-02-18,3034
2019-02-19,3156
2019-02-20,3183
2019-02-21,3277
2019-02-22,3272
2019-02-23,3393
2019-02-24,3327
2019-02-25,3287
2019-02-26,3197
2019-02-27,3177
2019-02-28,3168
2019-03-01,3128
2019-03-02,3187
2019-03-03,3276
2019-03-04,3385
2019-03-05,3458
2019-03-06,3505
2019-03-07,3501
2019-03-08,3517
2019-03-09,3534
2019-03-10,3602
2019-03-11,3727
2019-03-12,3777
2019-03-13,3849
2019-03-14,3762
2019-03-15,3686
2019-03-16,3597
2019-03-17,3593
2019-03-18,3713
2019-03-19,3693
2019-03-20,3648
2019-03-21,3580
