date_obj,Bronze%20kiteshield%20(g) price
2018-07-10,43553
2018-07-11,43553
2018-07-12,43553
2018-07-13,44989
2018-07-14,44989
2018-07-15,46602
2018-07-16,46602
2018-07-17,46690
2018-07-18,46690
2018-07-19,48064
2018-07-20,48064
2018-07-21,48186
2018-07-22,48186
2018-07-23,48223
2018-07-24,48223
2018-07-25,48223
2018-07-26,48776
2018-07-27,47501
2018-07-28,47501
2018-07-29,48022
2018-07-30,48022
2018-07-31,48599
2018-08-01,48599
2018-08-02,48424
2018-08-03,48424
2018-08-04,46801
2018-08-05,46801
2018-08-06,45127
2018-08-07,45127
2018-08-08,44815
2018-08-09,44815
2018-08-10,45834
2018-08-11,45834
2018-08-12,47078
2018-08-14,48376
2018-08-16,49096
2018-08-17,48591
2018-08-18,48591
2018-08-19,47125
2018-08-20,48101
2018-08-21,48101
2018-08-22,49487
2018-08-23,49487
2018-08-24,50033
2018-08-25,51456
2018-08-26,51456
2018-08-27,52088
2018-08-28,52088
2018-08-29,53174
2018-08-30,53174
2018-08-31,54485
2018-09-01,55709
2018-09-02,55709
2018-09-03,57458
2018-09-04,59744
2018-09-05,59744
2018-09-06,61061
2018-09-07,61061
2018-09-08,61432
2018-09-09,61432
2018-09-10,61404
2018-09-11,61404
2018-09-12,62099
2018-09-13,62099
2018-09-14,62692
2018-09-15,63382
2018-09-16,63382
2018-09-17,63575
2018-09-18,63575
2018-09-19,64350
2018-09-20,64350
2018-09-21,66245
2018-09-22,66782
2018-09-23,66782
2018-09-24,68000
2018-09-25,68000
2018-09-26,69131
2018-09-27,69131
2018-09-28,70620
2018-09-29,70620
2018-09-30,71470
2018-10-01,71470
2018-10-02,71887
2018-10-03,71887
2018-10-04,71713
2018-10-05,71713
2018-10-06,69836
2018-10-07,69836
2018-10-08,68641
2018-10-09,68641
2018-10-10,69684
2018-10-11,69684
2018-10-12,69463
2018-10-13,71119
2018-10-14,71119
2018-10-15,72574
2018-10-16,72574
2018-10-17,72111
2018-10-18,72111
2018-10-19,72843
2018-10-20,72843
2018-10-21,70794
2018-10-22,71250
2018-10-23,71250
2018-10-24,71250
2018-10-25,69951
2018-10-26,69951
2018-10-27,71563
2018-10-28,70969
2018-10-29,70969
2018-10-30,70086
2018-10-31,70342
2018-11-01,71918
2018-11-03,77930
2018-11-04,80605
2018-11-05,82964
2018-11-06,85649
2018-11-07,87642
2018-11-08,89861
2018-11-09,93416
2018-11-10,97956
2018-11-11,101821
2018-11-12,104094
2018-11-13,108320
2018-11-15,118637
2018-11-16,123772
2018-11-17,126427
2018-11-18,129446
2018-11-19,126787
2018-11-20,128516
2018-11-21,129500
2018-11-22,134463
2018-11-23,131933
2018-11-24,129336
2018-11-25,128117
2018-11-26,128117
2018-11-27,127011
2018-11-28,125340
2018-11-29,124302
2018-12-01,122610
2018-12-02,119653
2018-12-03,119653
2018-12-04,117413
2018-12-05,115009
2018-12-07,111653
2018-12-09,104285
2018-12-10,100065
2018-12-11,100065
2018-12-12,98418
2018-12-13,95453
2018-12-14,92596
2018-12-15,90441
2018-12-16,87514
2018-12-17,87514
2018-12-18,85297
2018-12-19,83039
2018-12-20,81815
2018-12-21,78524
2018-12-22,75821
2018-12-23,73410
2018-12-24,70768
2018-12-25,69494
2018-12-26,69494
2018-12-27,67995
2018-12-28,67995
2018-12-29,66174
2018-12-30,66174
2018-12-31,66206
2019-01-01,66206
2019-01-02,65197
2019-01-03,64640
2019-01-04,64640
2019-01-05,63781
2019-01-06,64116
2019-01-08,63651
2019-01-10,62274
2019-01-11,62274
2019-01-12,60835
2019-01-13,59725
2019-01-14,59237
2019-01-15,57676
2019-01-16,57456
2019-01-17,57386
2019-01-18,56469
2019-01-19,54855
2019-01-20,52962
2019-01-21,52962
2019-01-22,52890
2019-01-23,52529
2019-01-24,51123
2019-01-25,50473
2019-01-26,49846
2019-01-27,49377
2019-01-28,49400
2019-01-29,49801
2019-01-30,50755
2019-01-31,50755
2019-02-01,49728
2019-02-02,49728
2019-02-03,49646
2019-02-04,49646
2019-02-05,50217
2019-02-06,50217
2019-02-07,49702
2019-02-08,50211
2019-02-09,49467
2019-02-10,50244
2019-02-11,52263
2019-02-12,52263
2019-02-13,53631
2019-02-14,53631
2019-02-15,53279
2019-02-16,52951
2019-02-17,52951
2019-02-18,52277
2019-02-19,52277
2019-02-20,51061
2019-02-21,49346
2019-02-22,49346
2019-02-23,49694
2019-02-24,49235
2019-02-25,50155
2019-02-26,50155
2019-02-27,50022
2019-02-28,50022
2019-03-01,48505
2019-03-02,48505
2019-03-03,47339
2019-03-04,46697
2019-03-05,46111
2019-03-06,46298
2019-03-07,46298
2019-03-08,47111
2019-03-09,47111
2019-03-10,46999
2019-03-11,46587
2019-03-12,46563
2019-03-13,46563
2019-03-14,45783
