date_obj,Steel%20plateskirt%20(t) price
2019-11-04,2106
2019-11-05,2106
2019-11-06,2106
2019-11-07,2106
2019-11-08,2147
2019-11-09,2147
2019-11-10,2147
2019-11-11,2147
2019-11-12,2147
2019-11-13,2147
2019-11-14,2147
2019-11-15,2147
2019-11-16,2134
2019-11-17,2134
2019-11-18,2134
2019-11-19,2134
2019-11-20,2134
2019-11-21,2134
2019-11-22,2134
2019-11-23,2134
2019-11-24,2134
2019-11-25,2141
2019-11-26,2141
2019-11-27,2141
2019-11-28,2141
2019-11-29,2141
2019-11-30,2141
2019-12-01,2141
2019-12-02,2141
2019-12-03,2141
2019-12-04,2141
2019-12-05,2141
2019-12-06,2141
2019-12-07,2118
2019-12-08,2118
2019-12-09,2118
2019-12-10,2118
2019-12-11,2118
2019-12-12,2118
2019-12-13,2118
2019-12-14,2118
2019-12-15,2118
2019-12-16,2118
2019-12-17,2120
2019-12-18,2120
2019-12-19,2120
2019-12-20,2120
2019-12-21,2120
2019-12-22,2120
2019-12-23,2120
2019-12-24,2120
2019-12-25,2120
2019-12-26,2120
2019-12-27,2120
2019-12-28,2150
2019-12-29,2150
2019-12-30,2150
2019-12-31,2150
2020-01-01,2150
2020-01-02,2150
2020-01-03,2150
2020-01-04,2150
2020-01-05,2150
2020-01-06,2150
2020-01-07,2150
2020-01-08,2150
2020-01-09,2168
2020-01-10,2168
2020-01-11,2168
2020-01-12,2168
2020-01-13,2168
2020-01-14,2168
2020-01-15,2168
2020-01-16,2206
2020-01-17,2206
2020-01-18,2206
2020-01-19,2206
2020-01-20,2206
2020-01-21,2206
2020-01-22,2206
2020-01-23,2206
2020-01-24,2145
2020-01-25,2145
2020-01-26,2145
2020-01-27,2145
2020-01-28,2145
2020-01-29,2145
2020-01-30,2145
2020-01-31,2145
2020-02-01,2145
2020-02-02,2253
2020-02-03,2253
2020-02-04,2253
2020-02-05,2253
2020-02-06,2253
2020-02-07,2253
2020-02-08,2253
2020-02-09,2253
2020-02-10,2319
2020-02-11,2319
2020-02-12,2319
2020-02-13,2319
2020-02-14,2319
2020-02-15,2319
2020-02-16,2319
2020-02-17,2319
2020-02-18,2223
2020-02-19,2223
2020-02-20,2223
2020-02-21,2223
2020-02-22,2223
2020-02-23,2223
2020-02-24,2223
2020-02-25,2232
2020-02-26,2232
2020-02-27,2232
2020-02-28,2232
2020-02-29,2232
2020-03-01,2232
2020-03-02,2232
2020-03-03,2232
2020-03-04,2232
2020-03-05,2192
2020-03-06,2192
2020-03-07,2192
2020-03-08,2192
2020-03-09,2192
2020-03-10,2192
2020-03-11,2192
2020-03-12,2192
2020-03-13,2109
2020-03-14,2109
2020-03-15,2109
2020-03-16,2109
2020-03-17,2109
2020-03-18,2109
2020-03-19,2109
2020-03-20,2203
2020-03-21,2203
2020-03-22,2203
2020-03-23,2203
2020-03-24,2203
2020-03-25,2203
2020-03-26,2306
2020-03-27,2306
2020-03-28,2306
2020-03-29,2306
2020-03-30,2306
2020-03-31,2418
2020-04-01,2418
2020-04-02,2418
2020-04-03,2418
2020-04-04,2485
2020-04-05,2485
2020-04-06,2485
2020-04-07,2485
2020-04-08,2407
2020-04-09,2407
2020-04-10,2407
2020-04-11,2407
2020-04-12,2407
2020-04-13,2407
2020-04-14,2337
2020-04-15,2337
2020-04-16,2337
2020-04-17,2337
2020-04-18,2232
2020-04-19,2232
2020-04-20,2232
2020-04-21,2232
2020-04-22,2232
2020-04-23,2232
2020-04-24,2220
2020-04-25,2220
2020-04-26,2220
2020-04-27,2220
2020-04-28,2141
2020-04-29,2141
2020-04-30,2141
2020-05-01,2141
2020-05-02,2141
2020-05-03,2069
2020-05-04,2069
2020-05-05,2069
2020-05-06,2069
2020-05-07,2069
2020-05-08,2069
2020-05-09,2094
2020-05-10,2094
2020-05-11,2094
2020-05-12,2094
2020-05-13,2094
