date_obj,Chocchip%20crunchies price
2018-10-08,1072
2018-10-09,1072
2018-10-10,1072
2018-10-11,1072
2018-10-12,1072
2018-10-13,1072
2018-10-14,1072
2018-10-15,1072
2018-10-16,1072
2018-10-17,1072
2018-10-18,1072
2018-10-19,1072
2018-10-20,1072
2018-10-21,1067
2018-10-22,1067
2018-10-23,1067
2018-10-24,1067
2018-10-25,1067
2018-10-26,1067
2018-10-27,1067
2018-10-28,1067
2018-10-29,1067
2018-10-30,1067
2018-10-31,1067
2018-11-01,1067
2018-11-03,1067
2018-11-04,1088
2018-11-05,1088
2018-11-06,1088
2018-11-07,1088
2018-11-08,1088
2018-11-09,1088
2018-11-10,1088
2018-11-11,1088
2018-11-12,1088
2018-11-13,1088
2018-11-14,1088
2018-11-15,1098
2018-11-16,1098
2018-11-17,1098
2018-11-18,1098
2018-11-19,1098
2018-11-20,1098
2018-11-21,1098
2018-11-22,1098
2018-11-23,1098
2018-11-24,1098
2018-11-25,1110
2018-11-26,1110
2018-11-27,1110
2018-11-28,1110
2018-11-29,1110
2018-12-01,1110
2018-12-02,1110
2018-12-03,1110
2018-12-04,1110
2018-12-05,1134
2018-12-07,1134
2018-12-09,1134
2018-12-10,1134
2018-12-11,1134
2018-12-12,1127
2018-12-13,1127
2018-12-14,1127
2018-12-15,1167
2018-12-16,1167
2018-12-17,1167
2018-12-18,1167
2018-12-19,1167
2018-12-20,1174
2018-12-21,1174
2018-12-22,1174
2018-12-23,1174
2018-12-24,1157
2018-12-25,1157
2018-12-26,1157
2018-12-27,1157
2018-12-28,1157
2018-12-29,1157
2018-12-30,1157
2018-12-31,1157
2019-01-01,1157
2019-01-02,1129
2019-01-03,1129
2019-01-04,1129
2019-01-05,1129
2019-01-06,1129
2019-01-08,1129
2019-01-10,1112
2019-01-11,1112
2019-01-12,1112
2019-01-13,1112
2019-01-14,1112
2019-01-15,1112
2019-01-16,1112
2019-01-17,1112
2019-01-18,1112
2019-01-19,1133
2019-01-20,1133
2019-01-21,1133
2019-01-22,1133
2019-01-23,1133
2019-01-24,1133
2019-01-25,1133
2019-01-26,1133
2019-01-27,1133
2019-01-28,1142
2019-01-29,1142
2019-01-30,1142
2019-01-31,1142
2019-02-01,1142
2019-02-02,1142
2019-02-03,1142
2019-02-04,1142
2019-02-05,1142
2019-02-06,1170
2019-02-07,1170
2019-02-08,1170
2019-02-09,1170
2019-02-10,1170
2019-02-11,1170
2019-02-12,1166
2019-02-13,1166
2019-02-14,1166
2019-02-15,1166
2019-02-16,1166
2019-02-17,1224
2019-02-18,1224
2019-02-19,1224
2019-02-20,1224
2019-02-21,1224
2019-02-22,1224
2019-02-23,1224
2019-02-24,1224
2019-02-25,1224
2019-02-26,1224
2019-02-27,1224
2019-02-28,1224
2019-03-01,1224
2019-03-02,1224
2019-03-03,1224
2019-03-04,1224
2019-03-05,1224
2019-03-06,1224
2019-03-07,1224
2019-03-08,1224
2019-03-09,1224
2019-03-10,1217
2019-03-11,1217
2019-03-12,1217
2019-03-13,1217
2019-03-14,1217
2019-03-15,1217
2019-03-16,1217
2019-03-17,1217
2019-03-18,1217
2019-03-19,1217
2019-03-20,1217
2019-03-21,1225
2019-03-22,1225
2019-03-23,1225
2019-03-24,1225
2019-03-25,1225
2019-03-26,1225
2019-03-27,1225
2019-03-28,1225
2019-03-29,1225
2019-03-30,1225
2019-03-31,1225
2019-04-01,1183
2019-04-02,1183
2019-04-03,1183
2019-04-04,1183
2019-04-05,1183
2019-04-06,1183
2019-04-07,1183
2019-04-08,1183
2019-04-09,1183
2019-04-10,1183
2019-04-11,1183
2019-04-12,1219
2019-04-13,1219
2019-04-14,1219
2019-04-15,1219
2019-04-16,1219
2019-04-17,1219
2019-04-18,1219
2019-04-19,1219
2019-04-20,1219
2019-04-21,1248
2019-04-22,1248
2019-04-23,1248
2019-04-24,1248
2019-04-25,1248
2019-04-26,1248
2019-04-27,1248
2019-04-28,1248
2019-04-29,1248
2019-04-30,1248
2019-05-01,1248
2019-05-02,1195
2019-05-03,1195
2019-05-04,1195
2019-05-05,1195
2019-05-06,1195
2019-05-07,1195
2019-05-08,1195
2019-05-09,1195
2019-05-10,1183
2019-05-11,1183
2019-05-12,1183
2019-05-13,1183
2019-05-14,1183
2019-05-15,1183
2019-05-16,1183
2019-05-17,1183
2019-05-18,1145
2019-05-19,1145
2019-05-20,1145
2019-05-21,1145
2019-05-22,1145
2019-05-23,1145
2019-05-24,1145
2019-05-25,1145
2019-05-26,1145
2019-05-27,1145
2019-05-28,1145
2019-05-29,1158
2019-05-30,1158
2019-05-31,1158
2019-06-01,1158
2019-06-02,1158
2019-06-03,1158
2019-06-04,1158
2019-06-05,1158
2019-06-06,1158
2019-06-07,1142
2019-06-08,1142
2019-06-09,1142
2019-06-10,1142
2019-06-11,1142
2019-06-12,1142
2019-06-13,1142
2019-06-14,1142
2019-06-15,1142
2019-06-16,1108
2019-06-17,1108
2019-06-18,1108
2019-06-19,1108
2019-06-20,1108
