date_obj,Armadyl%20platelegs price
2018-10-18,40078
2018-10-19,40356
2018-10-20,40356
2018-10-21,39686
2018-10-22,39403
2018-10-23,39403
2018-10-24,40184
2018-10-25,40347
2018-10-26,40166
2018-10-27,39539
2018-10-28,39456
2018-10-29,39456
2018-10-30,39632
2018-10-31,39708
2018-11-01,39837
2018-11-03,40768
2018-11-04,41107
2018-11-05,41311
2018-11-06,42252
2018-11-07,43043
2018-11-08,43679
2018-11-09,43978
2018-11-10,44884
2018-11-11,46710
2018-11-12,48948
2018-11-13,51396
2018-11-14,53966
2018-11-15,56665
2018-11-16,57972
2018-11-18,60438
2018-11-19,59419
2018-11-20,61004
2018-11-21,63105
2018-11-22,64643
2018-11-23,66512
2018-11-24,68275
2018-11-25,65976
2018-11-26,64479
2018-11-27,62728
2018-11-28,60573
2018-11-29,57911
2018-12-01,54634
2018-12-02,54102
2018-12-03,52649
2018-12-04,51323
2018-12-05,50681
2018-12-07,48969
2018-12-09,46022
2018-12-10,45233
2018-12-11,44603
2018-12-12,44568
2018-12-13,45083
2018-12-14,45248
2018-12-15,45682
2018-12-16,45379
2018-12-17,44528
2018-12-18,45120
2018-12-19,46205
2018-12-20,46438
2018-12-21,47527
2018-12-22,47763
2018-12-23,47099
2018-12-24,46004
2018-12-25,45108
2018-12-26,44764
2018-12-27,43680
2018-12-28,42426
2018-12-29,42047
2018-12-30,41905
2018-12-31,41843
2019-01-01,41944
2019-01-02,41179
2019-01-03,40608
2019-01-04,41170
2019-01-05,41060
2019-01-06,41556
2019-01-08,43271
2019-01-10,44204
2019-01-11,43360
2019-01-12,43010
2019-01-13,41896
2019-01-14,41195
2019-01-15,40304
2019-01-16,40018
2019-01-17,39871
2019-01-18,39878
2019-01-19,39771
2019-01-20,39499
2019-01-21,39094
2019-01-22,39365
2019-01-23,39580
2019-01-24,39481
2019-01-25,38845
2019-01-26,39126
2019-01-27,39455
2019-01-28,39998
2019-01-29,40128
2019-01-30,40527
2019-01-31,41083
2019-02-01,41031
2019-02-02,40376
2019-02-03,39196
2019-02-04,38836
2019-02-05,39260
2019-02-06,39881
2019-02-07,39841
2019-02-08,39427
2019-02-09,39343
2019-02-10,39792
2019-02-11,40050
2019-02-12,39875
2019-02-13,40486
2019-02-14,40099
2019-02-15,39030
