date_obj,Guthix%20dragonhide%20set price
2018-02-02,255742
2018-02-03,255075
2018-02-04,255075
2018-02-05,254443
2018-02-06,261750
2018-02-07,270981
2018-02-08,270981
2018-02-09,266892
2018-02-10,266892
2018-02-11,268013
2018-02-12,274442
2018-02-13,274442
2018-02-14,280537
2018-02-15,280537
2018-02-16,282125
2018-02-17,281125
2018-02-18,281125
2018-02-19,278599
2018-02-20,278599
2018-02-21,269314
2018-02-22,269314
2018-02-23,264308
2018-02-24,264308
2018-02-25,258485
2018-02-26,258485
2018-02-27,252429
2018-02-28,252429
2018-03-01,250871
2018-03-02,253330
2018-03-03,255848
2018-03-04,255848
2018-03-05,253362
2018-03-06,253362
2018-03-07,254049
2018-03-08,254049
2018-03-09,253743
2018-03-10,253743
2018-03-11,248648
2018-03-12,246662
2018-03-13,246662
2018-03-14,246499
2018-03-15,246499
2018-03-16,247737
2018-03-17,245863
2018-03-18,245863
2018-03-19,249281
2018-03-20,246895
2018-03-21,246895
2018-03-23,244283
2018-03-24,243668
2018-03-25,243532
2018-03-26,243532
2018-03-27,242439
2018-03-28,242439
2018-03-29,247540
2018-03-30,247540
2018-03-31,252671
2018-04-01,252671
2018-04-02,254846
2018-04-03,264390
2018-04-04,264390
2018-04-05,272122
2018-04-06,276073
2018-04-07,276073
2018-04-08,287945
2018-04-09,287945
2018-04-10,296157
2018-04-11,296157
2018-04-12,290873
2018-04-13,290873
2018-04-14,288010
2018-04-15,285227
2018-04-16,285227
2018-04-17,290100
2018-04-18,290100
2018-04-19,297490
2018-04-20,297490
2018-04-21,302176
2018-04-22,302176
2018-04-23,312892
2018-04-24,312892
2018-04-25,327538
2018-04-26,327538
2018-04-27,330461
2018-04-28,330461
2018-04-29,340605
2018-04-30,340605
2018-05-01,335571
2018-05-03,341760
2018-05-04,341760
2018-05-05,328981
2018-05-06,328981
2018-05-07,321677
2018-05-08,321677
2018-05-09,317049
2018-05-10,317049
2018-05-11,313267
2018-05-12,317706
2018-05-13,317706
2018-05-14,317221
2018-05-15,317221
2018-05-16,313398
2018-05-17,313398
2018-05-18,311196
2018-05-19,316538
2018-05-20,316538
2018-05-21,320656
2018-05-22,320656
2018-05-23,326894
2018-05-24,326894
2018-05-25,325071
2018-05-26,332737
2018-05-27,332737
2018-05-28,332484
2018-05-29,332484
2018-05-30,340076
2018-05-31,340076
2018-06-01,340101
2018-06-02,346410
2018-06-03,346410
2018-06-04,358739
2018-06-05,367841
2018-06-06,373414
2018-06-07,373414
2018-06-08,374916
2018-06-09,374916
2018-06-10,368541
2018-06-11,368541
2018-06-12,361924
2018-06-13,352361
2018-06-14,352361
2018-06-15,343868
2018-06-16,343868
2018-06-17,336251
2018-06-18,336251
2018-06-19,330771
2018-06-20,330771
2018-06-21,325582
2018-06-22,326947
2018-06-23,326947
2018-06-24,326122
2018-06-25,326122
2018-06-26,315124
2018-06-27,315124
2018-06-28,318445
2018-06-29,321510
2018-06-30,321510
2018-07-01,318650
2018-07-02,318650
2018-07-03,319938
2018-07-04,319938
2018-07-05,315446
2018-07-06,309666
2018-07-07,309666
2018-07-08,314413
2018-07-09,313549
2018-07-10,313549
2018-07-11,306871
2018-07-12,306871
2018-07-13,302825
2018-07-14,305571
2018-07-15,305571
2018-07-16,304871
2018-07-17,301881
2018-07-18,301881
2018-07-19,300077
2018-07-20,310369
2018-07-21,317596
2018-07-22,328505
2018-07-23,327048
2018-07-24,327048
2018-07-25,333116
2018-07-26,343339
2018-07-27,353982
2018-07-28,353982
2018-07-29,359199
2018-07-30,359199
2018-07-31,358920
2018-08-01,358920
2018-08-02,358372
2018-08-03,358372
2018-08-04,365298
2018-08-05,368568
2018-08-06,368568
2018-08-07,370281
2018-08-08,379456
2018-08-09,379456
2018-08-10,386907
2018-08-11,386907
2018-08-12,386325
2018-08-14,384432
2018-08-16,379282
2018-08-17,374502
2018-08-18,374502
2018-08-19,374557
2018-08-20,369888
2018-08-21,369888
2018-08-22,371925
2018-08-23,371925
2018-08-24,360302
2018-08-25,361237
2018-08-26,361237
2018-08-27,362673
2018-08-28,359462
2018-08-29,359462
2018-08-30,353021
2018-08-31,348029
2018-09-01,342346
2018-09-02,342346
2018-09-03,341397
2018-09-04,338444
2018-09-05,338444
2018-09-06,339570
2018-09-07,339716
2018-09-08,335699
2018-09-09,335699
2018-09-10,332157
2018-09-11,332157
2018-09-12,334670
2018-09-13,334670
2018-09-14,327516
2018-09-15,335033
2018-09-16,335033
2018-09-17,338723
2018-09-18,341038
2018-09-19,341038
2018-09-20,337292
2018-09-21,337292
2018-09-22,340746
2018-09-23,348838
2018-09-24,349207
2018-09-25,349207
2018-09-26,347261
2018-09-27,347261
2018-09-28,342593
2018-09-29,342593
2018-09-30,337878
2018-10-01,339008
2018-10-02,339008
2018-10-03,338422
2018-10-04,338422
2018-10-05,339136
2018-10-06,338617
2018-10-07,338617
2018-10-08,337522
2018-10-09,337522
2018-10-10,337824
2018-10-11,337824
2018-10-12,343280
2018-10-13,342249
2018-10-14,347745
2018-10-15,347745
2018-10-16,349498
2018-10-17,344533
2018-10-18,340762
2018-10-19,350289
2018-10-20,350289
2018-10-21,360198
2018-10-22,355179
2018-10-23,355179
2018-10-25,354699
2018-10-26,354383
2018-10-27,359010
2018-10-28,353559
2018-10-29,353559
2018-10-30,352287
2018-10-31,347992
2018-11-01,341223
2018-11-03,336300
2018-11-04,337630
2018-11-05,341231
2018-11-06,341370
2018-11-07,341370
2018-11-08,343436
2018-11-09,343436
2018-11-10,351466
2018-11-11,361672
2018-11-12,369031
2018-11-13,374570
2018-11-14,374570
2018-11-15,386159
2018-11-16,396778
2018-11-17,397118
2018-11-18,401564
2018-11-19,409849
2018-11-20,410376
2018-11-21,411597
2018-11-22,412865
2018-11-23,411976
2018-11-24,416329
2018-11-25,421127
2018-11-26,429725
2018-11-27,443721
2018-11-28,443637
2018-11-29,441080
2018-12-01,449977
2018-12-02,456192
2018-12-03,456192
2018-12-04,474046
2018-12-05,486868
2018-12-07,492405
2018-12-09,492714
2018-12-10,494973
2018-12-11,482662
2018-12-12,478970
2018-12-13,475423
2018-12-14,465056
2018-12-15,462785
2018-12-16,462455
2018-12-17,466070
2018-12-18,461769
2018-12-19,450886
2018-12-20,445184
2018-12-21,443763
2018-12-22,443197
2018-12-23,443608
2018-12-24,445558
2018-12-25,455523
2018-12-26,468657
2018-12-27,491540
2018-12-28,514782
2018-12-29,532714
2018-12-30,543177
2018-12-31,544957
2019-01-01,545851
2019-01-02,547085
2019-01-03,555183
2019-01-04,563841
2019-01-05,572053
2019-01-06,582022
2019-01-08,570358
2019-01-10,547230
2019-01-11,545736
2019-01-12,543871
2019-01-13,565542
2019-01-14,584123
2019-01-15,610397
2019-01-16,636620
2019-01-17,664360
2019-01-18,671712
2019-01-19,668987
2019-01-20,681139
2019-01-21,680682
2019-01-22,688840
2019-01-23,701388
2019-01-24,696891
2019-01-25,708619
2019-01-26,710699
2019-01-27,694744
2019-01-28,688120
2019-01-29,676158
2019-01-30,669598
2019-01-31,670749
2019-02-01,690343
2019-02-02,701753
2019-02-03,704647
2019-02-04,704647
2019-02-05,691624
2019-02-06,675806
2019-02-07,673621
2019-02-08,671969
2019-02-09,673211
2019-02-10,659831
2019-02-11,657009
2019-02-12,654280
2019-02-13,661264
2019-02-14,661264
2019-02-15,655824
2019-02-16,645003
2019-02-17,645186
2019-02-18,629425
2019-02-19,617385
2019-02-20,603663
2019-02-21,593713
2019-02-22,583187
2019-02-23,575856
2019-02-24,569508
2019-02-25,556921
2019-02-26,543331
2019-02-27,545209
2019-02-28,555258
2019-03-01,543838
2019-03-02,535377
2019-03-03,542010
2019-03-04,549216
2019-03-05,561256
2019-03-06,567546
2019-03-07,575890
2019-03-08,575890
2019-03-09,579315
2019-03-10,590830
2019-03-11,602997
2019-03-12,615041
2019-03-13,615041
2019-03-14,630572
2019-03-15,630572
2019-03-16,644354
2019-03-17,633760
