date_obj,Torstol price
2018-07-28,10366
2018-07-29,10348
2018-07-30,10341
2018-07-31,10434
2018-08-01,10434
2018-08-02,10432
2018-08-03,10395
2018-08-04,10605
2018-08-05,10677
2018-08-06,10757
2018-08-07,10747
2018-08-08,10632
2018-08-09,10632
2018-08-10,10485
2018-08-11,10521
2018-08-12,10529
2018-08-14,10541
2018-08-16,10515
2018-08-17,10430
2018-08-18,10490
2018-08-19,10518
2018-08-20,10651
2018-08-21,10679
2018-08-22,10637
2018-08-23,10516
2018-08-24,10402
2018-08-25,10529
2018-08-26,10492
2018-08-27,10618
2018-08-28,10705
2018-08-29,10654
2018-08-30,10653
2018-08-31,10675
2018-09-01,10863
2018-09-02,10998
2018-09-03,11039
2018-09-04,11119
2018-09-05,11200
2018-09-06,11200
2018-09-07,11053
2018-09-08,10933
2018-09-09,10786
2018-09-10,10734
2018-09-11,10734
2018-09-12,10459
2018-09-13,10369
2018-09-14,10378
2018-09-15,10606
2018-09-16,10606
2018-09-17,10668
2018-09-18,10757
2018-09-19,10683
2018-09-20,10694
2018-09-21,10858
2018-09-22,10964
2018-09-23,11457
2018-09-24,11664
2018-09-25,11664
2018-09-26,11897
2018-09-27,12472
2018-09-28,12695
2018-09-29,12421
2018-09-30,12431
2018-10-02,12177
2018-10-03,12029
2018-10-04,12002
2018-10-05,12026
2018-10-06,12108
2018-10-07,11970
2018-10-08,11812
2018-10-09,11689
2018-10-10,11721
2018-10-11,11718
2018-10-12,11671
2018-10-13,11908
2018-10-14,11964
2018-10-15,11928
2018-10-16,11952
2018-10-17,11901
2018-10-18,11965
2018-10-19,11970
2018-10-20,11970
2018-10-21,12012
2018-10-22,12195
2018-10-23,12211
2018-10-24,12315
2018-10-25,12300
2018-10-26,12270
2018-10-27,12333
2018-10-28,12299
2018-10-29,12211
2018-10-30,12142
2018-10-31,12071
2018-11-01,12064
2018-11-03,12239
2018-11-04,12608
2018-11-05,12669
2018-11-06,12718
2018-11-07,12823
2018-11-08,12923
2018-11-09,12578
2018-11-10,12404
