date_obj,Purple%20elegant%20skirt price
2018-07-31,959
2018-08-01,959
2018-08-02,978
2018-08-03,978
2018-08-04,978
2018-08-05,976
2018-08-06,976
2018-08-07,976
2018-08-08,997
2018-08-09,997
2018-08-10,997
2018-08-11,981
2018-08-12,981
2018-08-14,988
2018-08-16,983
2018-08-17,983
2018-08-18,983
2018-08-19,1012
2018-08-20,1012
2018-08-21,1010
2018-08-22,1010
2018-08-23,1010
2018-08-24,1014
2018-08-25,1014
2018-08-26,1014
2018-08-27,1001
2018-08-28,1001
2018-08-29,992
2018-08-30,992
2018-08-31,986
2018-09-01,986
2018-09-02,985
2018-09-03,985
2018-09-04,983
2018-09-05,983
2018-09-06,983
2018-09-07,991
2018-09-08,991
2018-09-09,991
2018-09-10,977
2018-09-11,977
2018-09-12,977
2018-09-13,977
2018-09-14,983
2018-09-15,983
2018-09-16,983
2018-09-17,979
2018-09-18,979
2018-09-19,979
2018-09-20,972
2018-09-21,972
2018-09-22,972
2018-09-23,980
2018-09-24,980
2018-09-25,980
2018-09-26,974
2018-09-27,974
2018-09-28,967
2018-09-29,967
2018-09-30,965
2018-10-02,968
2018-10-03,968
2018-10-04,972
2018-10-05,972
2018-10-06,963
2018-10-07,963
2018-10-08,963
2018-10-09,994
2018-10-10,994
2018-10-11,994
2018-10-12,1008
2018-10-13,1008
2018-10-14,1008
2018-10-15,993
2018-10-16,993
2018-10-17,993
2018-10-18,1009
2018-10-19,1009
2018-10-20,1009
2018-10-21,1023
2018-10-22,1023
2018-10-23,1023
2018-10-24,1031
2018-10-25,1031
2018-10-26,1031
2018-10-27,995
2018-10-28,948
2018-10-29,948
2018-10-30,902
2018-10-31,896
2018-11-01,896
2018-11-03,914
2018-11-04,927
2018-11-05,927
2018-11-06,968
2018-11-07,968
2018-11-08,968
2018-11-09,989
2018-11-10,989
2018-11-11,1002
2018-11-12,1002
2018-11-13,1025
2018-11-14,1025
2018-11-15,1043
2018-11-16,1043
2018-11-17,1043
2018-11-18,1019
2018-11-19,1019
2018-11-20,1015
2018-11-21,1015
2018-11-22,994
2018-11-23,994
2018-11-24,985
2018-11-25,985
2018-11-26,990
2018-11-27,990
2018-11-28,1006
2018-12-01,1000
2018-12-02,1004
2018-12-03,1004
2018-12-04,1010
2018-12-05,1010
2018-12-09,1014
2018-12-10,1022
2018-12-11,1022
2018-12-12,1044
2018-12-13,1044
2018-12-14,1064
2018-12-15,1064
2018-12-16,1046
2018-12-17,1046
2018-12-18,1050
2018-12-19,1050
2018-12-20,1041
2018-12-21,1041
2018-12-22,1039
2018-12-23,1039
2018-12-24,1008
2018-12-25,1008
2018-12-26,1008
2018-12-27,1025
2018-12-28,1025
2018-12-29,983
2018-12-30,983
2018-12-31,951
2019-01-01,951
2019-01-02,954
2019-01-03,954
2019-01-04,954
2019-01-05,928
2019-01-06,933
2019-01-08,940
2019-01-10,917
2019-01-11,917
2019-01-12,888
2019-01-13,888
2019-01-14,882
2019-01-15,892
2019-01-16,912
2019-01-17,912
2019-01-18,928
2019-01-19,928
2019-01-20,919
2019-01-21,919
2019-01-22,920
2019-01-23,920
2019-01-24,910
2019-01-25,910
2019-01-26,943
2019-01-27,943
2019-01-28,959
2019-01-29,959
2019-01-30,931
2019-01-31,931
2019-02-01,915
2019-02-02,915
2019-02-03,888
2019-02-04,888
2019-02-05,864
2019-02-06,864
2019-02-07,888
2019-02-08,888
2019-02-09,902
2019-02-10,902
2019-02-11,915
2019-02-12,915
2019-02-13,920
2019-02-14,920
2019-02-15,930
2019-02-16,930
2019-02-17,956
2019-02-18,956
2019-02-19,956
2019-02-20,992
2019-02-21,992
2019-02-22,996
2019-02-23,996
2019-02-24,972
2019-02-25,972
2019-02-26,952
2019-02-27,952
2019-02-28,952
2019-03-01,943
2019-03-02,943
2019-03-03,959
2019-03-04,959
2019-03-05,963
2019-03-06,963
2019-03-07,979
2019-03-08,979
2019-03-09,979
2019-03-10,956
2019-03-11,956
2019-03-12,926
2019-03-13,926
2019-03-14,941
2019-03-15,941
2019-03-16,941
2019-03-17,904
2019-03-18,904
2019-03-19,904
2019-03-20,870
2019-03-21,870
2019-03-22,868
2019-03-23,899
2019-03-24,899
2019-03-25,899
2019-03-26,908
2019-03-27,908
2019-03-28,908
2019-03-29,925
2019-03-30,925
2019-03-31,925
2019-04-01,939
2019-04-02,939
2019-04-03,939
2019-04-04,940
2019-04-05,940
2019-04-06,940
2019-04-07,935
2019-04-08,935
2019-04-09,935
2019-04-10,944
2019-04-11,944
2019-04-12,954
2019-04-13,954
2019-04-14,954
2019-04-15,960
2019-04-16,960
2019-04-17,960
2019-04-18,960
2019-04-19,965
2019-04-20,965
2019-04-21,965
2019-04-22,965
2019-04-23,958
2019-04-24,958
2019-04-25,958
2019-04-26,943
2019-04-27,943
2019-04-28,943
2019-04-29,972
2019-04-30,972
2019-05-01,978
2019-05-02,978
2019-05-03,995
2019-05-04,995
2019-05-05,987
2019-05-06,987
2019-05-07,987
2019-05-08,991
2019-05-09,991
2019-05-10,991
2019-05-11,991
2019-05-12,991
2019-05-13,993
2019-05-14,993
2019-05-15,993
2019-05-16,1005
2019-05-17,1005
2019-05-18,1024
2019-05-19,1024
2019-05-20,1024
2019-05-21,1016
2019-05-22,1016
2019-05-23,986
2019-05-24,986
2019-05-25,986
2019-05-26,996
2019-05-27,996
2019-05-28,1018
2019-05-29,1018
2019-05-30,1042
2019-05-31,1042
2019-06-01,1042
2019-06-02,1050
2019-06-03,1050
2019-06-04,1074
2019-06-05,1074
2019-06-06,1074
2019-06-07,1067
2019-06-08,1067
2019-06-09,1017
2019-06-10,1017
2019-06-11,1017
2019-06-12,995
2019-06-13,995
2019-06-14,989
2019-06-15,989
2019-06-16,989
2019-06-17,981
2019-06-18,981
2019-06-19,981
2019-06-20,962
2019-06-21,962
2019-06-22,962
2019-06-23,957
2019-06-24,957
