date_obj,Diamond%20necklace price
2018-01-01,2147
2018-01-02,2147
2018-01-03,2147
2018-01-04,2147
2018-01-05,2147
2018-01-06,2147
2018-01-07,2147
2018-01-08,2097
2018-01-09,2097
2018-01-10,2097
2018-01-11,2097
2018-01-12,2097
2018-01-13,2097
2018-01-14,2097
2018-01-15,2097
2018-01-16,2097
2018-01-17,2097
2018-01-18,2097
2018-01-19,2097
2018-01-20,2097
2018-01-21,2097
2018-01-22,2097
2018-01-23,2122
2018-01-25,2122
2018-01-26,2122
2018-01-27,2122
2018-01-28,2122
2018-01-29,2122
2018-01-30,2122
2018-01-31,2122
2018-02-01,2122
2018-02-02,2122
2018-02-03,2122
2018-02-04,2122
2018-02-05,2122
2018-02-06,2122
2018-02-07,2122
2018-02-08,2122
2018-02-09,2121
2018-02-10,2121
2018-02-11,2121
2018-02-12,2121
2018-02-13,2121
2018-02-14,2121
2018-02-15,2121
2018-02-16,2121
2018-02-17,2121
2018-02-18,2121
2018-02-19,2121
2018-02-20,2121
2018-02-21,2121
2018-02-22,2121
2018-02-23,2121
2018-02-24,2121
2018-02-25,2140
2018-02-26,2140
2018-02-27,2140
2018-02-28,2140
2018-03-01,2140
2018-03-02,2140
2018-03-03,2140
2018-03-04,2140
2018-03-05,2140
2018-03-06,2140
2018-03-07,2140
2018-03-08,2140
2018-03-09,2140
2018-03-10,2140
2018-03-11,2140
2018-03-12,2140
2018-03-13,2141
2018-03-14,2141
2018-03-15,2141
2018-03-16,2141
2018-03-17,2141
2018-03-18,2141
2018-03-19,2141
2018-03-20,2141
2018-03-21,2141
2018-03-23,2141
2018-03-24,2141
2018-03-25,2141
2018-03-26,2141
2018-03-27,2142
2018-03-28,2142
2018-03-29,2142
2018-03-30,2142
2018-03-31,2142
2018-04-01,2142
2018-04-02,2142
2018-04-03,2142
2018-04-04,2142
2018-04-05,2142
2018-04-06,2142
2018-04-07,2142
2018-04-08,2142
2018-04-09,2142
2018-04-10,2142
2018-04-11,2142
2018-04-12,2125
2018-04-13,2125
2018-04-14,2125
2018-04-15,2125
2018-04-16,2125
2018-04-17,2125
2018-04-18,2125
2018-04-19,2125
2018-04-20,2125
2018-04-21,2125
2018-04-22,2125
2018-04-23,2125
2018-04-24,2125
2018-04-25,2125
2018-04-26,2125
2018-04-27,2125
2018-04-28,2125
2018-04-29,2109
2018-04-30,2109
2018-05-01,2109
2018-05-03,2109
2018-05-04,2109
2018-05-05,2109
2018-05-07,2109
2018-05-08,2109
2018-05-09,2109
2018-05-10,2109
2018-05-11,2109
2018-05-12,2109
2018-05-13,2109
2018-05-14,2085
2018-05-15,2085
2018-05-16,2085
2018-05-17,2085
2018-05-18,2085
2018-05-19,2085
2018-05-20,2085
2018-05-21,2085
2018-05-22,2085
2018-05-23,2085
2018-05-24,2108
2018-05-25,2108
2018-05-26,2108
2018-05-27,2108
2018-05-28,2108
2018-05-29,2108
2018-05-30,2108
2018-05-31,2108
2018-06-01,2108
2018-06-02,2108
2018-06-03,2130
2018-06-04,2130
2018-06-05,2130
2018-06-06,2130
2018-06-07,2130
2018-06-08,2130
2018-06-09,2130
2018-06-10,2130
2018-06-11,2130
2018-06-12,2130
2018-06-13,2130
2018-06-14,2130
2018-06-15,2130
2018-06-16,2130
2018-06-17,2071
2018-06-18,2071
2018-06-19,2071
2018-06-20,2071
2018-06-21,2071
2018-06-22,2071
2018-06-23,2071
2018-06-24,2071
2018-06-25,2071
2018-06-26,2071
2018-06-27,2071
2018-06-28,2071
2018-06-29,2071
2018-06-30,2101
2018-07-01,2101
2018-07-02,2101
2018-07-03,2101
2018-07-04,2101
2018-07-05,2101
