date_obj,Seers%20ring price
2018-08-26,439240
2018-08-27,445232
2018-08-28,441389
2018-08-29,431983
2018-08-30,428919
2018-08-31,436520
2018-09-01,447441
2018-09-02,452085
2018-09-03,455578
2018-09-04,465611
2018-09-05,460678
2018-09-06,457946
2018-09-07,456575
2018-09-08,450208
2018-09-09,441565
2018-09-10,438243
2018-09-11,438033
2018-09-12,437795
2018-09-13,439545
2018-09-14,455307
2018-09-15,466420
2018-09-16,488072
2018-09-17,503828
2018-09-18,525289
2018-09-19,539211
2018-09-20,556711
2018-09-21,577817
2018-09-22,603497
2018-09-23,612171
2018-09-24,618559
2018-09-25,618224
2018-09-26,628119
2018-09-27,622968
2018-09-28,624256
2018-09-29,622679
2018-09-30,616440
2018-10-02,593174
2018-10-03,581563
2018-10-04,573833
2018-10-05,561691
2018-10-06,579357
2018-10-07,590441
2018-10-08,601317
2018-10-09,615484
2018-10-10,618004
2018-10-11,615444
2018-10-12,610205
2018-10-13,601281
2018-10-14,592060
2018-10-15,574873
2018-10-16,553848
2018-10-17,530974
2018-10-18,510814
2018-10-19,489822
2018-10-20,471130
2018-10-21,466929
2018-10-22,463717
2018-10-23,457241
2018-10-24,456907
2018-10-25,460026
2018-10-26,463025
2018-10-27,478792
2018-10-28,487634
2018-10-29,476136
2018-10-30,467815
2018-10-31,467031
2018-11-01,468033
2018-11-03,470929
2018-11-04,489640
2018-11-05,513834
2018-11-06,539423
2018-11-07,565696
2018-11-08,587038
2018-11-09,605637
2018-11-10,625430
2018-11-11,643553
2018-11-12,654601
2018-11-13,660780
2018-11-14,646709
2018-11-15,615100
2018-11-16,584345
2018-11-17,555648
2018-11-18,541819
2018-11-19,536354
2018-11-20,529141
2018-11-21,524846
2018-11-22,498663
2018-11-23,473729
2018-11-24,455614
2018-11-25,466273
2018-11-26,478500
2018-11-27,489191
2018-11-28,497922
2018-11-29,507951
2018-12-01,511841
2018-12-02,510132
2018-12-03,508228
2018-12-04,512404
2018-12-05,519786
2018-12-07,523445
2018-12-09,526093
2018-12-10,537218
2018-12-11,539981
2018-12-12,564770
2018-12-13,591275
2018-12-14,610487
2018-12-15,631449
2018-12-16,655269
2018-12-17,655558
2018-12-18,657405
2018-12-19,668256
2018-12-20,681076
2018-12-21,683834
2018-12-22,693549
2018-12-23,718445
2018-12-24,716541
2018-12-25,709877
2018-12-26,704931
2018-12-27,692797
2018-12-28,678877
2018-12-29,660720
2018-12-30,644154
2018-12-31,622064
2019-01-01,607367
2019-01-02,598152
2019-01-03,604749
2019-01-04,607574
2019-01-05,603589
2019-01-06,605275
2019-01-08,593098
2019-01-10,551747
2019-01-11,531660
2019-01-12,513991
2019-01-13,518449
2019-01-14,528105
2019-01-15,542457
2019-01-16,553424
2019-01-17,574702
2019-01-18,592746
2019-01-19,605323
2019-01-20,600543
2019-01-21,590961
2019-01-22,580892
2019-01-23,575626
2019-01-24,574926
2019-01-25,581908
2019-01-26,587348
2019-01-27,591340
2019-01-28,587036
2019-01-29,574088
2019-01-30,553025
2019-01-31,542807
2019-02-01,523440
2019-02-02,516488
2019-02-03,511988
2019-02-04,519674
2019-02-05,529406
2019-02-06,532734
2019-02-07,525851
2019-02-08,543823
2019-02-09,555391
2019-02-10,568118
2019-02-11,570904
2019-02-12,563500
2019-02-13,566399
2019-02-14,568185
2019-02-15,564504
2019-02-16,576937
2019-02-17,573376
2019-02-18,576186
2019-02-19,576432
2019-02-20,587028
2019-02-21,590760
2019-02-22,586282
2019-02-23,606761
2019-02-24,594669
2019-02-25,595682
2019-02-26,598236
2019-02-27,602809
2019-02-28,598157
2019-03-01,600777
2019-03-02,598453
2019-03-03,594876
2019-03-04,592106
2019-03-05,590646
2019-03-06,585324
2019-03-07,584836
2019-03-08,576006
2019-03-09,574470
2019-03-10,578881
2019-03-11,580187
2019-03-12,575437
2019-03-13,567897
2019-03-14,557767
2019-03-15,553394
2019-03-16,545553
2019-03-17,538124
2019-03-18,529860
2019-03-19,513098
2019-03-20,503382
2019-03-21,494688
2019-03-22,489618
2019-03-23,493929
2019-03-24,485697
2019-03-25,483770
2019-03-26,477631
2019-03-27,471619
2019-03-28,471530
2019-03-29,493044
2019-03-30,516593
