date_obj,Saradomin%20dragonhide%20set price
2017-03-17,388720
2017-03-18,388720
2017-03-19,404500
2017-03-20,404500
2017-03-21,404500
2017-03-22,404500
2017-03-23,404500
2017-03-24,419994
2017-03-25,419994
2017-03-26,419994
2017-03-27,419994
2017-03-28,419994
2017-03-29,415829
2017-03-30,415829
2017-03-31,415829
2017-04-01,427678
2017-04-02,427678
2017-04-03,427678
2017-04-04,427678
2017-04-12,465815
2017-04-13,465815
2017-04-14,484002
2017-04-15,484002
2017-04-16,484002
2017-04-17,484002
2017-04-18,504904
2017-04-19,504904
2017-04-20,504904
2017-04-21,504904
2017-04-22,504904
2017-04-23,504904
2017-04-24,515523
2017-04-25,515523
2017-04-26,515523
2017-04-27,515523
2017-04-28,490373
2017-04-29,490373
2017-04-30,490373
2017-05-01,490373
2017-05-02,476149
2017-05-03,476149
2017-05-04,476149
2017-05-05,476149
2017-05-06,491088
2017-05-07,491088
2017-05-08,491088
2017-05-09,491088
2017-05-10,500516
2017-05-11,500516
2017-05-12,500516
2017-05-13,500516
2017-05-14,500516
2017-05-15,485767
2017-05-16,485767
2017-05-17,485767
2017-05-18,485767
2017-05-19,485767
2017-05-20,478081
2017-05-21,478081
2017-05-22,478081
2017-05-23,478081
2017-05-24,478081
2017-05-25,459156
2017-05-26,459156
2017-05-27,459156
2017-05-28,472906
2017-05-29,472906
2017-05-30,472906
2017-05-31,493182
2017-06-01,493182
2017-06-02,493182
2017-06-03,515157
2017-06-06,539505
2017-06-07,539505
2017-06-08,539505
2017-06-09,539505
2017-06-10,564261
2017-06-11,564261
2017-06-12,564261
2017-06-13,565273
2017-06-14,565273
2017-06-15,565273
2017-06-16,565273
2017-06-17,559540
2017-06-18,559540
2017-06-19,559540
2017-06-20,559540
2017-06-21,548128
2017-06-22,548128
2017-06-23,548128
2017-06-24,548128
2017-06-25,548128
2017-06-26,541914
2017-06-27,541914
2017-06-28,541914
2017-06-29,541914
2017-06-30,541914
2017-07-01,538372
2017-07-02,538372
2017-07-03,538372
2017-07-04,538372
2017-07-05,530255
2017-07-06,530255
2017-07-07,530255
2017-07-08,530255
2017-07-13,532169
2017-07-14,537596
2017-07-15,537596
2017-07-16,537596
