date_obj,Black%20platelegs price
2018-01-17,1076
2018-01-18,1108
2018-01-19,1108
2018-01-20,1144
2018-01-21,1168
2018-01-22,1214
2018-01-23,1262
2018-01-24,1317
2018-01-25,1370
2018-01-26,1390
2018-01-27,1428
2018-01-28,1404
2018-01-29,1393
2018-01-30,1376
2018-01-31,1392
2018-02-01,1400
2018-02-02,1374
2018-02-03,1338
2018-02-04,1353
2018-02-05,1391
2018-02-06,1377
2018-02-07,1330
2018-02-08,1279
2018-02-09,1250
2018-02-10,1251
2018-02-11,1301
2018-02-12,1365
2018-02-13,1434
2018-02-14,1506
2018-02-15,1576
2018-02-16,1597
2018-02-17,1568
2018-02-18,1580
2018-02-19,1541
2018-02-20,1542
2018-02-21,1534
2018-02-22,1559
2018-02-23,1601
2018-02-24,1579
2018-02-25,1559
2018-02-26,1597
2018-02-27,1563
2018-02-28,1484
2018-03-01,1445
2018-03-02,1449
2018-03-03,1406
2018-03-04,1335
2018-03-05,1308
2018-03-06,1265
2018-03-07,1291
2018-03-08,1356
2018-03-09,1356
2018-03-10,1302
2018-03-11,1266
2018-03-12,1295
2018-03-13,1315
2018-03-14,1323
2018-03-15,1344
2018-03-16,1337
2018-03-17,1319
2018-03-18,1370
2018-03-20,1415
2018-03-21,1374
2018-03-22,1401
2018-03-23,1464
2018-03-24,1527
2018-03-25,1559
2018-03-26,1610
2018-03-27,1648
2018-03-28,1698
2018-03-29,1673
2018-03-30,1638
2018-03-31,1583
2018-04-01,1611
2018-04-02,1579
2018-04-03,1577
2018-04-04,1610
2018-04-05,1640
2018-04-06,1720
2018-04-07,1723
2018-04-08,1743
2018-04-09,1721
2018-04-10,1673
2018-04-11,1750
2018-04-12,1822
2018-04-13,1884
2018-04-14,1908
2018-04-15,1914
2018-04-16,1964
2018-04-17,1997
2018-04-18,2012
2018-04-19,2018
2018-04-20,1962
2018-04-21,1875
2018-04-22,1791
2018-04-23,1748
2018-04-24,1724
2018-04-25,1676
2018-04-26,1621
2018-04-27,1566
2018-04-28,1513
2018-04-29,1458
2018-04-30,1394
2018-05-01,1363
2018-05-02,1326
2018-05-03,1341
2018-05-04,1338
2018-05-05,1321
2018-05-06,1254
2018-05-07,1237
2018-05-08,1283
2018-05-09,1342
2018-05-10,1374
2018-05-11,1387
2018-05-12,1355
2018-05-13,1381
2018-05-14,1384
2018-05-15,1383
2018-05-16,1373
2018-05-17,1381
2018-05-18,1385
2018-05-19,1368
2018-05-20,1364
2018-05-21,1350
2018-05-22,1353
2018-05-23,1314
2018-05-24,1266
2018-05-25,1227
2018-05-26,1271
2018-05-27,1253
2018-05-28,1263
2018-05-29,1250
2018-05-30,1208
2018-05-31,1194
2018-06-01,1193
2018-06-02,1173
2018-06-03,1145
2018-06-04,1193
2018-06-05,1231
2018-06-06,1293
2018-06-07,1358
2018-06-08,1426
2018-06-09,1498
