date_obj,Rock-shell%20chunk price
2018-10-15,11350
2018-10-16,11350
2018-10-17,11350
2018-10-18,11350
2018-10-19,11350
2018-10-20,11350
2018-10-21,11350
2018-10-22,11350
2018-10-23,11350
2018-10-24,11609
2018-10-25,11609
2018-10-26,11609
2018-10-27,11609
2018-10-28,11609
2018-10-29,11609
2018-10-30,11609
2018-10-31,11609
2018-11-01,11609
2018-11-03,11609
2018-11-04,11609
2018-11-05,11609
2018-11-06,11609
2018-11-07,11609
2018-11-08,11609
2018-11-09,11609
2018-11-10,11423
2018-11-11,11423
2018-11-12,11423
2018-11-13,11423
2018-11-14,11423
2018-11-15,11423
2018-11-16,11423
2018-11-17,11423
2018-11-18,11423
2018-11-19,11423
2018-11-20,11423
2018-11-21,11423
2018-11-22,11423
2018-11-23,11423
2018-11-24,11503
2018-11-25,11503
2018-11-26,11503
2018-11-27,11503
2018-11-28,11503
2018-11-29,11503
2018-12-01,11503
2018-12-02,11503
2018-12-03,11503
2018-12-04,11503
2018-12-05,11503
2018-12-07,11509
2018-12-09,11509
2018-12-10,11509
2018-12-11,11509
2018-12-12,11509
2018-12-13,11509
2018-12-14,11509
2018-12-15,11509
2018-12-16,11514
2018-12-17,11514
2018-12-18,11514
2018-12-19,11514
2018-12-20,11514
2018-12-21,11514
2018-12-22,11514
2018-12-23,11514
2018-12-24,11514
2018-12-25,11514
2018-12-26,11514
2018-12-27,11362
2018-12-28,11362
2018-12-29,11362
2018-12-30,11362
2018-12-31,11362
2019-01-01,11362
2019-01-02,11362
2019-01-03,11362
2019-01-04,11362
2019-01-05,11362
2019-01-06,11679
2019-01-08,11679
2019-01-10,11679
2019-01-11,11679
2019-01-12,11679
2019-01-13,11679
2019-01-14,11679
2019-01-15,11679
2019-01-16,11937
2019-01-17,11937
2019-01-18,11937
2019-01-19,11937
2019-01-20,11937
2019-01-21,11937
2019-01-22,11937
2019-01-23,11937
2019-01-24,11937
2019-01-25,12042
2019-01-26,12042
2019-01-27,12042
2019-01-28,12042
2019-01-29,12042
2019-01-30,12042
2019-01-31,12042
2019-02-01,12042
2019-02-02,12042
2019-02-03,12042
2019-02-04,12042
2019-02-05,11808
2019-02-06,11808
2019-02-07,11808
2019-02-08,11808
2019-02-09,11808
2019-02-10,11808
2019-02-11,11808
2019-02-12,11808
2019-02-13,11808
2019-02-14,11808
2019-02-15,11808
2019-02-16,11385
2019-02-17,11385
2019-02-18,11385
2019-02-19,11385
2019-02-20,11385
2019-02-21,11385
2019-02-22,11385
2019-02-23,11385
2019-02-24,11385
2019-02-25,11385
2019-02-26,11385
2019-02-27,11385
2019-02-28,11385
2019-03-01,11385
2019-03-02,11385
2019-03-03,11385
2019-03-04,11385
2019-03-05,11385
2019-03-06,11385
2019-03-07,11385
2019-03-08,11385
2019-03-09,11385
2019-03-10,11385
2019-03-11,11402
2019-03-12,11402
2019-03-13,11402
2019-03-14,11402
2019-03-15,11402
2019-03-16,11402
2019-03-17,11402
2019-03-18,11402
2019-03-19,11402
2019-03-20,11402
2019-03-21,11402
2019-03-22,11402
2019-03-23,11366
2019-03-24,11366
2019-03-25,11366
2019-03-26,11366
2019-03-27,11366
2019-03-28,11366
2019-03-29,11366
2019-03-30,11366
2019-03-31,11366
2019-04-01,11366
2019-04-02,11366
2019-04-03,11366
2019-04-04,11366
2019-04-05,11366
2019-04-06,11366
2019-04-07,11410
2019-04-08,11410
2019-04-09,11410
2019-04-10,11410
2019-04-11,11410
2019-04-12,11410
2019-04-13,11410
2019-04-14,11410
2019-04-15,11410
2019-04-16,11410
2019-04-17,11410
2019-04-18,11410
2019-04-19,11410
2019-04-20,11410
2019-04-21,11410
2019-04-22,11796
2019-04-23,11796
2019-04-24,11796
2019-04-25,11796
2019-04-26,11796
2019-04-27,11796
2019-04-28,11796
2019-04-29,11796
2019-04-30,11796
2019-05-01,11796
2019-05-02,11796
2019-05-03,11796
2019-05-04,11796
2019-05-05,12046
2019-05-06,12046
2019-05-07,12046
2019-05-08,12046
2019-05-09,12046
2019-05-10,12046
2019-05-11,12046
2019-05-12,12046
2019-05-13,12046
2019-05-14,12046
2019-05-15,12046
