date_obj,Black%20cape price
2018-05-18,362
2018-05-19,363
2018-05-20,363
2018-05-21,352
2018-05-22,352
2018-05-23,353
2018-05-24,353
2018-05-25,350
2018-05-26,337
2018-05-27,337
2018-05-28,341
2018-05-29,354
2018-05-30,354
2018-05-31,358
2018-06-01,358
2018-06-02,360
2018-06-03,360
2018-06-04,358
2018-06-05,368
2018-06-06,382
2018-06-07,382
2018-06-08,393
2018-06-09,393
2018-06-10,397
2018-06-11,397
2018-06-12,401
2018-06-13,398
2018-06-14,398
2018-06-15,397
2018-06-16,397
2018-06-17,386
2018-06-18,386
2018-06-19,378
2018-06-20,378
2018-06-21,377
2018-06-22,372
2018-06-23,372
2018-06-24,361
2018-06-25,361
2018-06-26,357
2018-06-27,357
2018-06-28,350
2018-06-29,350
2018-06-30,342
2018-07-01,341
2018-07-02,341
2018-07-03,344
2018-07-04,344
2018-07-05,339
2018-07-06,332
2018-07-07,332
2018-07-08,327
2018-07-09,317
2018-07-10,317
2018-07-11,314
2018-07-12,314
2018-07-13,312
2018-07-14,310
2018-07-15,310
2018-07-16,313
2018-07-17,304
2018-07-18,304
2018-07-19,303
2018-07-20,303
2018-07-21,298
2018-07-22,298
2018-07-23,297
2018-07-24,297
2018-07-25,299
2018-07-26,308
2018-07-27,317
2018-07-28,317
2018-07-29,326
2018-07-30,333
2018-07-31,345
2018-08-01,345
2018-08-02,343
2018-08-03,343
2018-08-04,353
2018-08-05,355
2018-08-06,370
2018-08-07,379
2018-08-08,389
2018-08-09,389
2018-08-10,388
2018-08-11,398
2018-08-12,403
2018-08-14,405
2018-08-16,410
2018-08-17,400
2018-08-18,400
2018-08-19,416
2018-08-20,426
2018-08-21,426
2018-08-22,435
2018-08-23,435
2018-08-24,435
2018-08-25,446
2018-08-26,446
2018-08-27,456
2018-08-28,467
2018-08-29,473
2018-08-30,473
2018-08-31,475
2018-09-01,472
2018-09-02,472
2018-09-03,469
2018-09-04,465
2018-09-05,466
2018-09-06,466
2018-09-07,475
2018-09-08,477
2018-09-09,477
2018-09-10,453
2018-09-11,453
2018-09-12,430
2018-09-13,412
2018-09-14,393
2018-09-15,388
2018-09-16,388
2018-09-17,394
2018-09-18,387
2018-09-19,387
2018-09-20,391
2018-09-21,391
2018-09-22,408
2018-09-23,427
2018-09-24,448
2018-09-25,448
2018-09-26,461
2018-09-27,461
2018-09-28,449
2018-09-29,433
2018-09-30,432
2018-10-01,433
2018-10-02,425
2018-10-03,427
2018-10-04,427
2018-10-05,413
2018-10-06,403
2018-10-07,403
2018-10-08,389
2018-10-09,394
2018-10-10,387
2018-10-11,388
2018-10-12,388
2018-10-13,388
2018-10-14,399
2018-10-15,404
2018-10-16,404
2018-10-17,403
2018-10-18,421
2018-10-19,439
2018-10-20,439
2018-10-21,460
2018-10-22,473
2018-10-23,473
2018-10-24,490
2018-10-25,506
2018-10-26,523
2018-10-27,525
2018-10-28,531
2018-10-29,531
2018-10-30,535
2018-10-31,555
2018-11-01,556
2018-11-03,534
2018-11-04,520
2018-11-05,513
2018-11-06,493
2018-11-07,469
2018-11-08,445
2018-11-09,425
2018-11-10,416
2018-11-11,401
2018-11-12,391
2018-11-13,371
2018-11-15,334
2018-11-16,317
2018-11-17,301
2018-11-18,290
2018-11-19,280
2018-11-20,281
2018-11-21,278
2018-11-22,274
2018-11-23,272
2018-11-24,270
2018-11-25,266
2018-11-26,255
2018-11-27,249
2018-11-28,248
2018-11-29,239
2018-12-01,229
2018-12-02,219
2018-12-03,212
2018-12-04,208
2018-12-05,210
2018-12-07,209
2018-12-09,216
2018-12-10,220
2018-12-11,227
2018-12-12,226
2018-12-13,233
2018-12-14,237
2018-12-15,233
2018-12-16,235
2018-12-17,232
2018-12-18,229
2018-12-19,226
2018-12-20,222
2018-12-21,221
2018-12-22,222
2018-12-23,221
2018-12-24,224
2018-12-25,229
2018-12-26,229
2018-12-27,232
2018-12-28,230
2018-12-29,233
2018-12-30,236
2018-12-31,234
2019-01-01,237
2019-01-02,234
2019-01-03,238
2019-01-04,238
2019-01-05,241
2019-01-06,244
2019-01-08,243
2019-01-10,256
2019-01-11,264
2019-01-12,270
2019-01-13,272
2019-01-14,277
2019-01-15,287
2019-01-16,291
2019-01-17,287
2019-01-18,287
2019-01-19,286
2019-01-20,293
2019-01-21,297
2019-01-22,303
2019-01-23,299
2019-01-24,301
2019-01-25,311
2019-01-26,316
2019-01-27,326
2019-01-28,336
2019-01-29,344
2019-01-30,353
2019-01-31,342
2019-02-01,337
2019-02-02,331
2019-02-03,329
2019-02-04,329
2019-02-05,323
2019-02-06,313
2019-02-07,307
2019-02-08,294
2019-02-09,293
2019-02-10,294
2019-02-11,292
2019-02-12,292
2019-02-13,288
2019-02-14,288
2019-02-15,293
2019-02-16,296
2019-02-17,296
2019-02-18,295
2019-02-19,301
2019-02-20,301
2019-02-21,310
2019-02-22,319
2019-02-23,312
2019-02-24,307
2019-02-25,303
2019-02-26,294
2019-02-27,300
2019-02-28,302
2019-03-01,300
2019-03-02,305
2019-03-03,306
2019-03-04,300
2019-03-05,301
2019-03-06,308
2019-03-07,312
2019-03-08,312
2019-03-09,316
2019-03-10,314
2019-03-11,314
2019-03-12,311
2019-03-13,311
2019-03-14,311
2019-03-15,310
2019-03-16,303
2019-03-17,300
2019-03-18,300
2019-03-19,306
2019-03-20,308
2019-03-21,316
2019-03-22,316
2019-03-23,310
2019-03-24,314
2019-03-25,314
2019-03-26,322
2019-03-27,322
2019-03-28,322
2019-03-29,318
2019-03-30,318
2019-03-31,304
2019-04-01,310
2019-04-02,311
2019-04-03,312
2019-04-04,312
2019-04-05,313
2019-04-06,313
2019-04-07,315
2019-04-08,320
2019-04-09,321
2019-04-10,321
2019-04-11,334
2019-04-12,344
2019-04-13,358
2019-04-14,372
2019-04-15,377
2019-04-16,383
2019-04-17,387
2019-04-18,378
2019-04-19,375
2019-04-20,376
2019-04-21,389
2019-04-22,375
2019-04-23,378
2019-04-24,383
2019-04-25,386
2019-04-26,381
2019-04-27,381
2019-04-28,370
2019-04-29,368
2019-04-30,366
2019-05-01,366
2019-05-02,376
2019-05-03,373
2019-05-04,387
2019-05-05,394
2019-05-06,384
2019-05-07,391
2019-05-08,407
2019-05-09,407
2019-05-10,408
2019-05-11,410
2019-05-12,403
2019-05-13,386
2019-05-14,370
2019-05-15,370
2019-05-16,365
2019-05-17,365
2019-05-18,357
2019-05-19,362
2019-05-20,360
2019-05-21,363
2019-05-22,347
2019-05-23,348
2019-05-24,348
2019-05-25,341
2019-05-26,332
2019-05-27,333
2019-05-28,319
2019-05-29,314
2019-05-30,307
2019-05-31,307
2019-06-01,306
2019-06-02,308
2019-06-03,307
2019-06-04,311
2019-06-05,323
2019-06-06,314
2019-06-07,312
2019-06-08,315
2019-06-09,315
2019-06-10,315
2019-06-11,318
2019-06-12,324
2019-06-13,327
2019-06-14,337
2019-06-15,337
2019-06-16,336
2019-06-17,345
2019-06-18,345
2019-06-19,342
2019-06-20,341
2019-06-21,349
2019-06-22,349
2019-06-23,351
2019-06-24,336
2019-06-25,331
2019-06-26,329
2019-06-27,334
2019-06-28,334
2019-06-29,345
2019-06-30,361
2019-07-01,361
2019-07-02,361
2019-07-03,360
2019-07-04,360
2019-07-05,354
2019-07-06,360
2019-07-07,356
2019-07-08,361
2019-07-09,361
2019-07-10,362
2019-07-11,376
2019-07-12,386
2019-07-13,386
2019-07-14,397
2019-07-15,397
2019-07-16,392
2019-07-17,385
2019-07-18,385
2019-07-19,382
2019-07-20,382
2019-07-21,376
2019-07-22,376
2019-07-23,366
2019-07-24,366
2019-07-25,369
