date_obj,Steam%20staff%20upgrade%20kit price
2018-07-27,69594
2018-07-28,69594
2018-07-29,69594
2018-07-30,69594
2018-07-31,71523
2018-08-01,71523
2018-08-02,71523
2018-08-03,71523
2018-08-04,71523
2018-08-05,71523
2018-08-06,71523
2018-08-07,73103
2018-08-08,73103
2018-08-09,73103
2018-08-10,73103
2018-08-11,73103
2018-08-12,73103
2018-08-14,76650
2018-08-16,76650
2018-08-17,76650
2018-08-18,76650
2018-08-19,76650
2018-08-20,80226
2018-08-21,80226
2018-08-22,80226
2018-08-23,80226
2018-08-24,80226
2018-08-25,80226
2018-08-26,80226
2018-08-27,83457
2018-08-28,83457
2018-08-29,83457
2018-08-30,83457
2018-08-31,83457
2018-09-01,86015
2018-09-02,86015
2018-09-03,86015
2018-09-04,86015
2018-09-05,86015
2018-09-06,86015
2018-09-07,86015
2018-09-08,81714
2018-09-09,81714
2018-09-10,81714
2018-09-11,81714
2018-09-12,81714
2018-09-13,81714
2018-09-14,81714
2018-09-15,77765
2018-09-16,77765
2018-09-17,77765
2018-09-18,77765
2018-09-19,77765
2018-09-20,77765
2018-09-21,77765
2018-09-22,75716
2018-09-23,75716
2018-09-24,75716
2018-09-25,75716
2018-09-26,75716
2018-09-27,75716
2018-09-28,75716
2018-09-29,75716
2018-09-30,76241
2018-10-02,76241
2018-10-03,76241
2018-10-04,76241
2018-10-05,76241
2018-10-06,72525
2018-10-07,72525
2018-10-08,72525
2018-10-09,72525
2018-10-10,72525
2018-10-11,72525
2018-10-12,72525
2018-10-13,68898
2018-10-14,68898
2018-10-15,68898
2018-10-16,68898
2018-10-17,68898
2018-10-18,68898
2018-10-19,69642
2018-10-20,69642
2018-10-21,69642
2018-10-22,69642
2018-10-23,69642
2018-10-24,69642
2018-10-25,69642
2018-10-26,69914
2018-10-27,69914
2018-10-28,69914
2018-10-29,69914
2018-10-30,69914
2018-10-31,69914
2018-11-01,67328
2018-11-03,67328
2018-11-04,67328
2018-11-05,67328
2018-11-06,68266
2018-11-07,68266
2018-11-08,68266
2018-11-09,68266
2018-11-10,68266
2018-11-11,68266
2018-11-12,65604
2018-11-13,65604
2018-11-14,65604
2018-11-15,65604
2018-11-16,65604
2018-11-17,63688
2018-11-18,63688
2018-11-19,63688
2018-11-20,63688
2018-11-21,63688
2018-11-22,64239
2018-11-23,64239
2018-11-24,64239
2018-11-25,64239
2018-11-26,64239
2018-11-27,65499
2018-11-28,65499
2018-11-29,65499
2018-12-01,65499
2018-12-02,63476
2018-12-03,63476
2018-12-04,63476
2018-12-05,63476
2018-12-07,63476
2018-12-09,65327
2018-12-10,65327
2018-12-11,65327
2018-12-12,65327
2018-12-13,64518
2018-12-14,64518
2018-12-15,64518
2018-12-16,64518
2018-12-17,64518
2018-12-18,63693
2018-12-19,63693
2018-12-20,63693
2018-12-21,63693
2018-12-22,63693
2018-12-23,65662
2018-12-24,65662
2018-12-25,65662
2018-12-26,65662
2018-12-27,65662
2018-12-28,64831
2018-12-29,64831
2018-12-30,64831
2018-12-31,64831
2019-01-01,64336
2019-01-02,64336
2019-01-03,64336
2019-01-04,64336
2019-01-05,63709
2019-01-06,63709
2019-01-08,63709
2019-01-10,62208
2019-01-11,62208
2019-01-12,62208
2019-01-13,62271
2019-01-14,62271
2019-01-15,62271
2019-01-16,62271
2019-01-17,61430
2019-01-18,61430
2019-01-19,61430
2019-01-20,61430
2019-01-21,61430
2019-01-22,59548
2019-01-23,59548
2019-01-24,59548
2019-01-25,59548
2019-01-26,59548
2019-01-27,56570
2019-01-28,56570
2019-01-29,56570
2019-01-30,56570
2019-01-31,56570
2019-02-01,58745
2019-02-02,58745
2019-02-03,58745
2019-02-04,58745
2019-02-05,61139
2019-02-06,61139
2019-02-07,61139
2019-02-08,61139
2019-02-09,61139
2019-02-10,60839
2019-02-11,60839
2019-02-12,60839
2019-02-13,60839
2019-02-14,60839
2019-02-15,60398
2019-02-16,60398
2019-02-17,60398
2019-02-18,60398
2019-02-19,60398
2019-02-20,62778
2019-02-21,62778
2019-02-22,62778
2019-02-23,62778
2019-02-24,65537
2019-02-25,65537
2019-02-26,65537
2019-02-27,65537
2019-02-28,65537
2019-03-01,65537
2019-03-02,65537
2019-03-03,65537
2019-03-04,63905
2019-03-05,63905
2019-03-06,63905
2019-03-07,63905
2019-03-08,63905
2019-03-09,66835
2019-03-10,66835
2019-03-11,66835
2019-03-12,66835
2019-03-13,66835
2019-03-14,64639
2019-03-15,64639
2019-03-16,64639
2019-03-17,64639
2019-03-18,64639
2019-03-19,64639
2019-03-20,63252
2019-03-21,63252
2019-03-22,63252
2019-03-23,63252
2019-03-24,63252
2019-03-25,63252
2019-03-26,62137
