date_obj,Rock-shell%20legs price
2018-07-28,38498
2018-07-29,38153
2018-07-30,38837
2018-07-31,39381
2018-08-01,39758
2018-08-02,39428
2018-08-03,39510
2018-08-04,38196
2018-08-05,38635
2018-08-06,38728
2018-08-07,38268
2018-08-08,38575
2018-08-09,39021
2018-08-10,38300
2018-08-11,37988
2018-08-12,38116
2018-08-14,38409
2018-08-16,38703
2018-08-17,38484
2018-08-18,38901
2018-08-19,38416
2018-08-20,38815
2018-08-21,38588
2018-08-22,38059
2018-08-23,38800
2018-08-24,38708
2018-08-25,38401
2018-08-26,38732
2018-08-27,38390
2018-08-28,38289
2018-08-29,38135
2018-08-30,38147
2018-08-31,38797
2018-09-01,38500
2018-09-02,39102
2018-09-03,38268
2018-09-04,38368
2018-09-05,38367
2018-09-06,38393
2018-09-07,38504
2018-09-08,38516
2018-09-09,38292
2018-09-10,38261
2018-09-11,38453
2018-09-12,38763
2018-09-13,38421
2018-09-14,38721
2018-09-15,38339
2018-09-16,37627
2018-09-17,38259
2018-09-18,38587
2018-09-19,38428
2018-09-20,38313
2018-09-21,38221
2018-09-22,38419
2018-09-23,38213
2018-09-24,38076
2018-09-25,38268
2018-09-26,38467
2018-09-27,38314
2018-09-28,38263
2018-09-29,38343
2018-09-30,38452
2018-10-02,38453
2018-10-03,38377
2018-10-04,38120
2018-10-05,38414
2018-10-06,38271
2018-10-07,38101
2018-10-08,38174
2018-10-09,38351
2018-10-10,38352
2018-10-11,38470
2018-10-12,38888
2018-10-13,38353
2018-10-14,38594
2018-10-15,38787
2018-10-16,38543
2018-10-17,38404
2018-10-18,38550
2018-10-19,38411
2018-10-20,38742
2018-10-21,39037
2018-10-22,39117
2018-10-23,38187
2018-10-24,38755
2018-10-25,38289
2018-10-26,38245
2018-10-27,38427
2018-10-28,38476
2018-10-29,38386
2018-10-30,38246
2018-10-31,38406
2018-11-01,38921
2018-11-03,38535
2018-11-04,38685
2018-11-05,38625
2018-11-06,39177
2018-11-07,38592
2018-11-08,38731
2018-11-09,38578
2018-11-10,38386
2018-11-11,38144
2018-11-12,38386
2018-11-13,38666
2018-11-14,38260
2018-11-15,38349
2018-11-16,38191
2018-11-17,38172
2018-11-18,38562
2018-11-19,38318
2018-11-20,38149
2018-11-21,38168
2018-11-22,38278
2018-11-23,38312
2018-11-24,38233
2018-11-25,38361
2018-11-26,38788
2018-11-27,38329
2018-11-28,38483
2018-11-29,38389
2018-12-01,38480
2018-12-02,38184
2018-12-03,37914
2018-12-04,38523
2018-12-05,38671
2018-12-07,38394
2018-12-09,38256
2018-12-10,38381
2018-12-11,38264
2018-12-12,38184
2018-12-13,38473
2018-12-14,38654
2018-12-15,38506
2018-12-16,38570
2018-12-17,37990
2018-12-18,38162
2018-12-19,38011
2018-12-20,38724
2018-12-21,38395
2018-12-22,38630
2018-12-23,38484
2018-12-24,38285
2018-12-25,38133
2018-12-26,38134
2018-12-27,38710
2018-12-28,39320
2018-12-29,39049
2018-12-30,38723
2018-12-31,38249
2019-01-01,38493
2019-01-02,39137
2019-01-03,38400
2019-01-04,38144
2019-01-05,38104
2019-01-06,38533
2019-01-08,38310
2019-01-10,38127
2019-01-11,37941
2019-01-12,38492
2019-01-13,38134
2019-01-14,38972
2019-01-15,38652
2019-01-16,38233
2019-01-17,38584
2019-01-18,38664
2019-01-19,38298
2019-01-20,38528
2019-01-21,38793
2019-01-22,38314
2019-01-23,38118
2019-01-24,38272
2019-01-25,38274
2019-01-26,38798
2019-01-27,38445
2019-01-28,38104
2019-01-29,38835
2019-01-30,38296
2019-01-31,38375
2019-02-01,38048
2019-02-02,38024
2019-02-03,38095
2019-02-04,38066
2019-02-05,38410
2019-02-06,39139
2019-02-07,38456
2019-02-08,38642
2019-02-09,38635
2019-02-10,38394
2019-02-11,38542
2019-02-12,39372
2019-02-13,39563
2019-02-14,38992
2019-02-15,38724
2019-02-16,38191
2019-02-17,38412
2019-02-18,38416
2019-02-19,38446
2019-02-20,38245
2019-02-21,38337
2019-02-22,38233
2019-02-23,38360
2019-02-24,38633
2019-02-25,38575
2019-02-26,38366
2019-02-27,38194
2019-02-28,38017
2019-03-01,38012
2019-03-02,38397
2019-03-03,39523
2019-03-04,38925
2019-03-05,38377
2019-03-06,38240
2019-03-07,38305
2019-03-08,38147
2019-03-09,38491
2019-03-10,38346
2019-03-11,38293
2019-03-12,38278
2019-03-13,38238
2019-03-14,38159
2019-03-15,38243
2019-03-16,38329
2019-03-17,38337
2019-03-18,38184
2019-03-19,38451
2019-03-20,38199
2019-03-21,38307
2019-03-22,39342
2019-03-23,38913
2019-03-24,38438
2019-03-25,38532
2019-03-26,38504
2019-03-27,37859
2019-03-28,37732
2019-03-29,38526
2019-03-30,38791
