date_obj,Rune%20cane price
2018-05-13,8374
2018-05-14,8444
2018-05-15,8444
2018-05-16,8619
2018-05-17,8619
2018-05-18,8749
2018-05-19,8699
2018-05-20,8699
2018-05-21,8950
2018-05-22,8950
2018-05-23,9179
2018-05-24,9179
2018-05-25,9179
2018-05-26,9273
2018-05-27,9273
2018-05-28,9143
2018-05-29,9143
2018-05-30,8926
2018-05-31,8926
2018-06-01,8672
2018-06-02,8523
2018-06-03,8523
2018-06-04,8599
2018-06-05,8547
2018-06-06,8547
2018-06-07,8498
2018-06-08,8573
2018-06-09,8573
2018-06-10,8533
2018-06-11,8533
2018-06-12,8513
2018-06-13,8395
2018-06-14,8395
2018-06-15,8430
2018-06-16,8430
2018-06-17,8379
2018-06-18,8379
2018-06-19,8270
2018-06-20,8270
2018-06-21,8378
2018-06-22,8378
2018-06-23,8481
2018-06-24,8481
2018-06-25,8408
2018-06-26,8408
2018-06-27,8462
2018-06-28,8462
2018-06-29,8371
2018-06-30,8371
2018-07-01,8285
2018-07-02,8285
2018-07-03,8375
2018-07-04,8375
2018-07-05,8333
2018-07-06,8263
2018-07-07,8263
2018-07-08,8271
2018-07-09,8271
2018-07-10,8426
2018-07-11,8426
2018-07-12,8426
2018-07-13,8332
2018-07-14,8301
2018-07-15,8301
2018-07-16,8168
2018-07-17,8257
2018-07-18,8257
2018-07-19,8491
2018-07-20,8491
2018-07-21,8783
2018-07-22,8783
2018-07-23,8785
2018-07-24,8785
2018-07-25,8918
2018-07-26,8918
2018-07-27,8745
2018-07-28,8745
2018-07-29,8624
2018-07-30,8624
2018-07-31,8590
2018-08-01,8590
2018-08-02,8705
2018-08-03,8705
2018-08-04,8690
2018-08-05,8690
2018-08-06,8730
2018-08-07,8730
2018-08-08,8743
2018-08-09,8743
2018-08-10,8730
2018-08-11,8730
2018-08-12,8764
2018-08-14,8638
2018-08-16,8490
2018-08-17,8488
2018-08-18,8488
2018-08-19,8424
2018-08-20,8506
2018-08-21,8506
2018-08-22,8661
2018-08-23,8661
2018-08-24,8732
2018-08-25,8803
2018-08-26,8803
2018-08-27,8969
2018-08-28,9079
2018-08-29,9079
2018-08-30,9259
2018-08-31,9302
2018-09-01,9447
2018-09-02,9447
2018-09-03,9596
2018-09-04,9596
2018-09-05,9617
2018-09-06,9617
2018-09-07,9437
2018-09-08,9066
2018-09-09,9066
2018-09-10,8780
2018-09-11,8780
2018-09-12,8537
2018-09-13,8537
2018-09-14,8389
2018-09-15,8428
2018-09-16,8428
2018-09-17,8514
2018-09-18,8514
2018-09-19,8550
2018-09-20,8392
2018-09-21,8392
2018-09-22,8444
2018-09-23,8444
2018-09-24,8525
2018-09-25,8525
2018-09-26,8458
2018-09-27,8458
2018-09-28,8453
2018-09-29,8453
2018-09-30,8336
2018-10-02,8408
2018-10-03,8421
2018-10-04,8421
2018-10-05,8469
2018-10-06,8566
2018-10-07,8566
2018-10-08,8613
2018-10-09,8505
2018-10-10,8402
2018-10-11,8386
2018-10-12,8386
2018-10-13,8450
2018-10-14,8450
2018-10-15,8343
2018-10-16,8371
2018-10-17,8428
2018-10-18,8428
2018-10-19,8445
2018-10-20,8445
2018-10-21,8439
2018-10-22,8408
2018-10-23,8408
2018-10-24,8629
2018-10-25,8707
2018-10-26,8707
2018-10-27,8564
2018-10-28,8450
2018-10-29,8450
2018-10-30,8451
2018-10-31,8340
2018-11-01,8502
2018-11-03,8544
2018-11-04,8617
2018-11-05,8576
2018-11-06,8520
2018-11-07,8552
2018-11-08,8412
2018-11-09,8469
2018-11-10,8465
2018-11-11,8553
2018-11-12,8485
2018-11-13,8433
2018-11-14,8433
2018-11-15,8521
2018-11-16,8637
2018-11-17,8827
2018-11-18,8741
2018-11-19,8543
2018-11-20,8624
2018-11-21,8624
2018-11-22,8710
2018-11-23,8849
2018-11-24,8868
2018-11-25,8771
2018-11-26,8694
2018-11-27,8661
2018-11-28,8613
2018-12-01,8625
2018-12-02,8594
2018-12-03,8594
2018-12-04,8654
2018-12-05,8653
2018-12-07,8258
2018-12-09,8629
2018-12-10,8521
2018-12-11,8521
2018-12-12,8724
2018-12-13,8804
2018-12-14,8673
2018-12-15,8590
2018-12-16,8550
2018-12-17,8550
2018-12-18,8450
2018-12-19,8448
2018-12-20,8613
2018-12-21,8649
2018-12-22,8649
2018-12-23,8479
2018-12-24,8465
2018-12-25,8465
2018-12-26,8456
2018-12-27,8477
2018-12-28,8477
2018-12-29,8669
2018-12-30,8702
2018-12-31,8614
2019-01-01,8612
2019-01-02,8571
2019-01-03,8619
2019-01-04,8657
2019-01-05,8385
2019-01-06,8456
2019-01-08,8463
2019-01-10,8333
2019-01-11,8274
2019-01-12,8286
2019-01-13,8191
2019-01-14,8371
2019-01-15,8422
2019-01-16,8082
2019-01-17,8308
