date_obj,Machete price
2018-04-19,320
2018-04-20,306
2018-04-21,313
2018-04-22,313
2018-04-23,315
2018-04-24,315
2018-04-25,316
2018-04-26,316
2018-04-27,316
2018-04-28,317
2018-04-29,325
2018-04-30,329
2018-05-01,329
2018-05-04,331
2018-05-05,338
2018-05-06,338
2018-05-07,335
2018-05-08,335
2018-05-09,339
2018-05-10,346
2018-05-11,346
2018-05-12,350
2018-05-13,350
2018-05-14,359
2018-05-15,359
2018-05-16,373
2018-05-17,373
2018-05-18,391
2018-05-19,391
2018-05-20,391
2018-05-21,382
2018-05-22,382
2018-05-23,371
2018-05-24,371
2018-05-25,369
2018-05-26,360
2018-05-27,360
2018-05-28,367
2018-05-29,362
2018-05-30,362
2018-05-31,377
2018-06-01,395
2018-06-02,409
2018-06-03,409
2018-06-04,399
2018-06-05,409
2018-06-06,418
2018-06-07,418
2018-06-08,426
2018-06-09,426
2018-06-10,410
2018-06-11,401
2018-06-12,394
2018-06-13,400
2018-06-14,405
2018-06-15,405
2018-06-16,416
2018-06-17,396
2018-06-18,392
2018-06-19,374
2018-06-20,374
2018-06-21,356
2018-06-22,362
2018-06-23,362
2018-06-24,370
2018-06-25,375
2018-06-26,375
2018-06-27,360
2018-06-28,342
2018-06-29,324
2018-06-30,307
2018-07-01,303
2018-07-02,303
2018-07-03,309
2018-07-04,309
2018-07-05,314
2018-07-06,310
2018-07-07,310
2018-07-08,317
2018-07-09,323
2018-07-10,321
2018-07-11,328
2018-07-12,333
2018-07-13,345
2018-07-14,347
2018-07-15,347
2018-07-16,357
2018-07-17,348
2018-07-18,338
2018-07-19,338
2018-07-20,333
2018-07-21,331
2018-07-22,314
2018-07-23,316
2018-07-24,316
2018-07-25,317
2018-07-26,314
2018-07-27,317
2018-07-28,317
2018-07-29,318
2018-07-30,333
2018-07-31,344
2018-08-01,344
2018-08-02,352
2018-08-03,352
2018-08-04,367
2018-08-05,366
2018-08-06,375
2018-08-07,385
2018-08-08,387
2018-08-09,387
2018-08-10,387
2018-08-11,396
2018-08-12,400
2018-08-14,408
2018-08-16,414
2018-08-17,413
2018-08-18,413
2018-08-19,416
2018-08-20,417
2018-08-21,417
2018-08-22,412
2018-08-23,404
2018-08-24,401
2018-08-25,396
2018-08-26,396
2018-08-27,395
2018-08-28,398
2018-08-29,392
2018-08-30,389
2018-08-31,395
2018-09-01,403
2018-09-02,399
2018-09-03,394
2018-09-04,396
2018-09-05,405
2018-09-06,405
2018-09-07,400
2018-09-08,397
2018-09-09,397
2018-09-10,393
2018-09-11,393
2018-09-12,394
2018-09-13,394
2018-09-14,389
2018-09-15,369
2018-09-16,369
2018-09-17,363
2018-09-18,368
2018-09-19,368
2018-09-20,365
2018-09-21,363
2018-09-22,348
2018-09-23,351
2018-09-24,353
2018-09-25,353
2018-09-26,355
2018-09-27,355
2018-09-28,362
2018-09-29,366
2018-09-30,369
2018-10-02,373
2018-10-03,369
2018-10-04,369
2018-10-05,372
2018-10-06,370
2018-10-07,370
2018-10-08,371
2018-10-09,373
2018-10-10,378
2018-10-11,370
2018-10-12,370
2018-10-13,375
2018-10-14,377
2018-10-15,382
2018-10-16,389
2018-10-17,396
2018-10-18,389
2018-10-19,391
2018-10-20,391
2018-10-21,393
2018-10-22,398
2018-10-23,398
2018-10-24,397
2018-10-25,380
2018-10-26,379
2018-10-27,387
2018-10-28,384
2018-10-29,384
2018-10-30,388
2018-10-31,390
2018-11-01,392
2018-11-03,392
2018-11-04,386
2018-11-05,393
2018-11-06,394
2018-11-07,394
2018-11-08,385
2018-11-09,384
2018-11-10,387
2018-11-11,398
2018-11-12,391
2018-11-13,372
2018-11-14,376
2018-11-15,373
2018-11-16,371
2018-11-17,361
2018-11-18,342
2018-11-19,324
2018-11-20,307
2018-11-21,291
2018-11-22,276
2018-11-23,263
2018-11-24,254
2018-11-25,257
2018-11-26,259
2018-11-27,257
2018-11-28,256
2018-11-29,257
2018-12-01,247
2018-12-02,243
2018-12-03,243
2018-12-04,239
2018-12-05,241
2018-12-07,246
2018-12-09,251
2018-12-10,247
2018-12-11,237
2018-12-12,242
2018-12-13,243
2018-12-14,239
2018-12-15,244
2018-12-16,239
2018-12-17,233
2018-12-18,230
2018-12-19,225
2018-12-20,213
2018-12-21,202
2018-12-22,198
2018-12-23,201
2018-12-24,203
2018-12-25,199
2018-12-26,199
2018-12-27,197
2018-12-28,202
2018-12-29,205
2018-12-30,202
2018-12-31,203
2019-01-01,206
2019-01-02,212
2019-01-03,219
2019-01-04,224
2019-01-05,229
2019-01-06,233
2019-01-08,233
2019-01-10,222
2019-01-11,223
2019-01-12,225
2019-01-13,226
2019-01-14,216
2019-01-15,211
2019-01-16,208
2019-01-17,207
2019-01-18,199
2019-01-19,198
2019-01-20,202
2019-01-21,209
2019-01-22,218
2019-01-23,221
2019-01-24,221
2019-01-25,225
2019-01-26,230
2019-01-27,235
2019-01-28,238
2019-01-29,240
2019-01-30,237
2019-01-31,241
2019-02-01,243
2019-02-02,245
2019-02-03,243
2019-02-04,231
2019-02-05,226
2019-02-06,227
2019-02-07,232
2019-02-08,230
2019-02-09,223
2019-02-10,224
2019-02-11,229
2019-02-12,229
2019-02-13,234
2019-02-14,234
2019-02-15,241
2019-02-16,244
2019-02-17,253
2019-02-18,260
2019-02-19,264
2019-02-20,252
2019-02-21,239
2019-02-22,228
2019-02-23,235
2019-02-24,244
2019-02-25,244
2019-02-26,239
2019-02-27,233
2019-02-28,222
2019-03-01,223
2019-03-02,225
2019-03-03,228
2019-03-04,227
2019-03-05,237
2019-03-06,244
2019-03-07,248
2019-03-08,248
2019-03-09,257
2019-03-10,266
2019-03-11,276
2019-03-12,286
2019-03-13,292
2019-03-14,300
2019-03-15,307
2019-03-16,313
2019-03-17,319
2019-03-18,319
2019-03-19,327
2019-03-20,335
2019-03-21,343
2019-03-22,353
2019-03-23,363
2019-03-24,363
2019-03-25,363
2019-03-26,373
2019-03-27,373
2019-03-28,387
2019-03-29,406
2019-03-30,406
2019-03-31,422
2019-04-01,440
2019-04-02,435
2019-04-03,427
2019-04-04,414
2019-04-05,399
2019-04-06,382
2019-04-07,396
2019-04-08,391
2019-04-09,398
2019-04-10,407
2019-04-11,399
2019-04-12,395
2019-04-13,389
2019-04-14,380
2019-04-15,372
2019-04-16,378
2019-04-17,385
2019-04-18,383
2019-04-19,375
2019-04-20,363
2019-04-21,361
2019-04-22,348
2019-04-23,330
2019-04-24,314
2019-04-25,298
2019-04-26,287
2019-04-27,277
2019-04-28,279
2019-04-29,274
2019-04-30,273
2019-05-01,280
2019-05-02,287
2019-05-03,283
2019-05-04,273
2019-05-05,271
2019-05-06,276
2019-05-07,283
2019-05-08,289
2019-05-09,291
2019-05-10,281
2019-05-11,278
2019-05-12,285
2019-05-13,291
2019-05-14,301
2019-05-15,309
2019-05-16,308
2019-05-17,309
2019-05-18,305
2019-05-19,289
2019-05-20,274
2019-05-21,277
2019-05-22,276
2019-05-23,268
2019-05-24,267
2019-05-25,268
2019-05-26,267
2019-05-27,263
2019-05-28,263
2019-05-29,261
2019-05-30,259
2019-05-31,262
2019-06-01,255
2019-06-02,242
2019-06-03,231
2019-06-04,220
2019-06-05,221
2019-06-06,225
2019-06-07,234
2019-06-08,241
2019-06-09,250
2019-06-10,250
2019-06-11,260
2019-06-12,270
2019-06-13,276
2019-06-14,282
2019-06-15,288
2019-06-16,295
2019-06-17,306
2019-06-18,322
2019-06-19,338
2019-06-20,349
2019-06-21,353
2019-06-22,341
2019-06-23,331
2019-06-24,339
2019-06-25,341
2019-06-26,344
2019-06-27,345
2019-06-28,345
2019-06-29,339
2019-06-30,333
2019-07-01,333
2019-07-02,338
2019-07-03,330
2019-07-04,332
2019-07-05,344
2019-07-06,338
2019-07-07,339
2019-07-08,342
2019-07-09,325
2019-07-10,313
2019-07-11,322
2019-07-12,332
2019-07-13,332
2019-07-14,330
2019-07-15,330
2019-07-16,321
