date_obj,Bronze%20chainbody price
2018-12-07,8
2018-12-09,7
2018-12-10,7
2018-12-11,7
2018-12-12,8
2018-12-13,9
2018-12-14,10
2018-12-15,11
2018-12-16,12
2018-12-17,13
2018-12-18,14
2018-12-19,15
2018-12-20,15
2018-12-21,15
2018-12-22,15
2018-12-23,14
2018-12-24,13
2018-12-25,12
2018-12-26,11
2018-12-27,10
2018-12-28,11
2018-12-29,12
2018-12-30,12
2018-12-31,12
2019-01-01,12
2019-01-02,13
2019-01-03,14
2019-01-04,15
2019-01-05,15
2019-01-06,16
2019-01-08,17
2019-01-10,19
2019-01-11,20
2019-01-12,21
2019-01-13,21
2019-01-14,22
2019-01-15,22
2019-01-16,22
2019-01-17,22
2019-01-18,24
2019-01-19,25
2019-01-20,27
2019-01-21,28
2019-01-22,29
2019-01-23,31
2019-01-24,33
2019-01-25,33
2019-01-26,35
2019-01-27,35
2019-01-28,35
2019-01-29,35
2019-01-30,35
2019-01-31,35
2019-02-01,35
2019-02-02,36
2019-02-03,34
2019-02-04,35
2019-02-05,35
2019-02-06,35
2019-02-07,34
2019-02-08,32
2019-02-09,31
2019-02-10,31
2019-02-11,32
2019-02-12,34
2019-02-13,35
2019-02-14,36
2019-02-15,36
2019-02-16,36
2019-02-17,35
2019-02-18,34
2019-02-19,35
2019-02-20,35
2019-02-21,35
2019-02-22,35
2019-02-23,35
2019-02-24,34
2019-02-25,35
2019-02-26,35
2019-02-27,35
2019-02-28,33
2019-03-01,33
2019-03-02,35
2019-03-03,35
2019-03-04,35
2019-03-05,35
2019-03-06,35
2019-03-07,35
2019-03-08,35
2019-03-09,35
2019-03-10,35
2019-03-11,35
2019-03-12,36
2019-03-13,35
2019-03-14,37
2019-03-15,38
2019-03-16,39
2019-03-17,39
2019-03-18,40
2019-03-19,39
2019-03-20,39
2019-03-21,38
2019-03-22,37
2019-03-23,37
2019-03-24,36
2019-03-25,35
2019-03-26,35
2019-03-27,35
2019-03-28,35
2019-03-29,35
2019-03-30,35
2019-03-31,35
2019-04-01,35
2019-04-02,35
2019-04-03,35
2019-04-04,35
2019-04-05,35
2019-04-06,35
2019-04-07,36
2019-04-08,36
2019-04-09,34
2019-04-10,33
2019-04-11,35
2019-04-12,36
2019-04-13,36
2019-04-14,35
2019-04-15,35
2019-04-16,35
2019-04-17,36
2019-04-18,37
2019-04-19,36
2019-04-20,36
2019-04-21,36
2019-04-22,36
2019-04-23,36
2019-04-24,36
2019-04-25,36
2019-04-26,37
2019-04-27,36
2019-04-28,37
2019-04-29,38
2019-04-30,40
2019-05-01,39
2019-05-02,39
2019-05-03,40
2019-05-04,41
2019-05-05,44
2019-05-06,43
2019-05-07,45
2019-05-08,45
2019-05-09,47
2019-05-10,46
2019-05-11,47
2019-05-12,47
2019-05-13,46
2019-05-14,44
2019-05-15,44
2019-05-16,45
2019-05-17,44
2019-05-18,46
2019-05-19,45
2019-05-20,45
2019-05-21,46
2019-05-22,45
2019-05-23,47
2019-05-24,47
2019-05-25,45
2019-05-26,44
2019-05-27,44
2019-05-28,43
2019-05-29,43
2019-05-30,44
2019-05-31,44
2019-06-01,44
2019-06-02,43
2019-06-03,44
2019-06-04,44
2019-06-05,44
2019-06-06,44
2019-06-07,44
2019-06-08,42
2019-06-09,40
2019-06-10,39
2019-06-11,39
2019-06-12,40
2019-06-13,41
2019-06-14,43
2019-06-15,43
2019-06-16,43
2019-06-17,41
2019-06-18,39
2019-06-19,40
2019-06-20,42
2019-06-21,45
2019-06-22,46
2019-06-23,49
2019-06-24,52
2019-06-25,53
2019-06-26,53
2019-06-27,52
2019-06-28,52
2019-06-29,52
2019-06-30,52
2019-07-01,52
2019-07-02,52
2019-07-03,52
2019-07-04,52
2019-07-05,52
2019-07-06,52
2019-07-07,50
2019-07-08,47
2019-07-09,45
2019-07-10,42
2019-07-11,40
2019-07-12,38
2019-07-13,38
2019-07-14,36
2019-07-15,36
2019-07-16,38
2019-07-17,40
2019-07-18,40
2019-07-19,42
2019-07-20,44
2019-07-21,45
2019-07-22,45
2019-07-23,45
2019-07-24,45
2019-07-25,48
2019-07-26,48
2019-07-27,50
2019-07-28,47
2019-07-29,46
2019-07-30,49
2019-07-31,52
2019-08-01,55
2019-08-02,54
2019-08-03,55
2019-08-04,55
2019-08-05,55
2019-08-06,55
2019-08-07,56
2019-08-08,56
2019-08-09,56
2019-08-10,57
2019-08-11,57
2019-08-12,57
2019-08-13,57
2019-08-14,57
2019-08-15,57
