date_obj,Mithril%20kiteshield%20(g) price
2018-02-14,11168
2018-02-15,11463
2018-02-16,11656
2018-02-17,12182
2018-02-18,12391
2018-02-19,12248
2018-02-20,12434
2018-02-21,12578
2018-02-22,12692
2018-02-23,12588
2018-02-24,12588
2018-02-25,12441
2018-02-26,12162
2018-02-27,12198
2018-03-01,12347
2018-03-02,12787
2018-03-03,12763
2018-03-04,12763
2018-03-05,12587
2018-03-06,12269
2018-03-07,12191
2018-03-08,12177
2018-03-09,12295
2018-03-10,12756
2018-03-11,12688
2018-03-12,12344
2018-03-13,12597
2018-03-14,12506
2018-03-15,12788
2018-03-16,13084
2018-03-17,13227
2018-03-18,13006
2018-03-19,12824
2018-03-20,12759
2018-03-21,12411
2018-03-23,12651
2018-03-24,12723
2018-03-26,12225
2018-03-27,12194
2018-03-28,12178
2018-03-29,12245
2018-03-30,11904
2018-03-31,11729
2018-04-01,11965
2018-04-02,12018
2018-04-03,12077
2018-04-04,12224
2018-04-05,12224
2018-04-06,12235
2018-04-07,12235
2018-04-08,12221
2018-04-09,11989
2018-04-10,12151
2018-04-11,12319
2018-04-12,12602
2018-04-13,12852
2018-04-14,12975
2018-04-15,12857
2018-04-16,12857
2018-04-17,12617
2018-04-18,12205
2018-04-19,11968
2018-04-20,11460
2018-04-21,10953
2018-04-22,10461
2018-04-23,10225
2018-04-24,10477
2018-04-25,10710
2018-04-26,10712
2018-04-27,10657
2018-04-28,10336
2018-04-29,10315
2018-04-30,10174
2018-05-01,10263
2018-05-04,9052
2018-05-05,9023
2018-05-06,9023
2018-05-07,8869
2018-05-08,8731
2018-05-09,8495
2018-05-10,8509
2018-05-11,8378
2018-05-12,8156
2018-05-13,8156
2018-05-14,8148
2018-05-15,8141
2018-05-16,8166
2018-05-17,8265
2018-05-18,8329
2018-05-19,8371
2018-05-20,8338
2018-05-21,8452
2018-05-22,8452
2018-05-23,8404
2018-05-24,8511
2018-05-25,8663
2018-05-26,8839
2018-05-27,9166
2018-05-28,9224
2018-05-29,9215
2018-05-30,9223
2018-05-31,9250
2018-06-01,9429
2018-06-02,9699
2018-06-03,9919
2018-06-04,9800
2018-06-05,9853
2018-06-06,10092
2018-06-07,10515
2018-06-08,10824
2018-06-09,10885
2018-06-10,11278
2018-06-11,11741
2018-06-12,12244
2018-06-13,12290
2018-06-14,12534
2018-06-15,12582
2018-06-16,12428
2018-06-17,12176
2018-06-18,12241
2018-06-19,12413
2018-06-20,12413
2018-06-21,12684
2018-06-22,13014
2018-06-23,13014
2018-06-24,13182
2018-06-25,13565
2018-06-26,14011
2018-06-27,14572
2018-06-28,14647
2018-06-29,14787
2018-06-30,14668
2018-07-01,14353
2018-07-02,14353
2018-07-03,14501
2018-07-04,13917
2018-07-05,13440
2018-07-06,13257
2018-07-07,13426
2018-07-08,12977
2018-07-09,12514
2018-07-10,12049
2018-07-11,11485
2018-07-12,10965
2018-07-13,10531
2018-07-14,10151
2018-07-15,9806
2018-07-16,9534
2018-07-17,9154
2018-07-18,8802
2018-07-19,8390
2018-07-20,8091
2018-07-21,8243
2018-07-22,8444
2018-07-23,8597
2018-07-24,8527
2018-07-25,8641
2018-07-26,8869
2018-07-27,8938
2018-07-28,8717
2018-07-29,8996
2018-07-30,8739
2018-07-31,8608
2018-08-01,8583
2018-08-02,8646
2018-08-03,8685
2018-08-04,8765
2018-08-05,8528
2018-08-06,8650
2018-08-07,8826
2018-08-08,8761
2018-08-09,8909
2018-08-10,8775
2018-08-11,8837
2018-08-12,8823
2018-08-14,8969
2018-08-16,8985
2018-08-17,9055
2018-08-18,9166
2018-08-19,9401
2018-08-20,9109
2018-08-21,9042
2018-08-22,9211
2018-08-23,9283
2018-08-24,9144
2018-08-25,9267
2018-08-26,9484
2018-08-27,9523
2018-08-28,9766
2018-08-29,9806
2018-08-30,9746
2018-08-31,9762
2018-09-01,9907
2018-09-02,9907
2018-09-03,9885
2018-09-04,9626
2018-09-05,9663
2018-09-06,9586
2018-09-07,9480
2018-09-08,9479
2018-09-09,9568
2018-09-10,9527
2018-09-11,9444
2018-09-12,9735
2018-09-13,10062
2018-09-14,10311
2018-09-15,10243
2018-09-16,10175
2018-09-17,10043
2018-09-18,10129
2018-09-19,10119
2018-09-20,10282
2018-09-21,10469
2018-09-22,10522
2018-09-23,10661
2018-09-24,10724
2018-09-25,10631
2018-09-26,10787
2018-09-27,10927
2018-09-28,11149
2018-09-29,11233
2018-09-30,11351
2018-10-02,11183
2018-10-03,11575
2018-10-04,11513
2018-10-05,11714
2018-10-06,11659
2018-10-07,11396
2018-10-08,11444
2018-10-09,11819
2018-10-10,11703
2018-10-11,11677
2018-10-12,11627
2018-10-13,11821
2018-10-14,11841
2018-10-15,11803
2018-10-16,12044
2018-10-17,11987
2018-10-18,11633
2018-10-19,11931
2018-10-20,12280
2018-10-21,12575
2018-10-22,13029
2018-10-23,13268
2018-10-24,12970
2018-10-25,12992
2018-10-26,13056
2018-10-27,13028
2018-10-28,12901
2018-10-29,12756
2018-10-30,12786
2018-10-31,13180
2018-11-01,13744
2018-11-03,15061
2018-11-04,15775
2018-11-05,16540
2018-11-06,17366
2018-11-07,18235
2018-11-08,19147
2018-11-09,20105
2018-11-10,21108
2018-11-11,22164
2018-11-12,23273
2018-11-13,24437
2018-11-14,25652
2018-11-15,26935
2018-11-16,28277
2018-11-17,29691
