date_obj,Dareeyak%20teleport%20(tablet) price
2018-11-09,2484
2018-11-10,2422
2018-11-11,2422
2018-11-12,2304
2018-11-13,2304
2018-11-14,2286
2018-11-15,2286
2018-11-16,2287
2018-11-17,2287
2018-11-18,2341
2018-11-19,2341
2018-11-20,2400
2018-11-21,2400
2018-11-22,2393
2018-11-23,2393
2018-11-24,2413
2018-11-25,2439
2018-11-26,2439
2018-11-27,2423
2018-11-28,2423
2018-11-29,2418
2018-12-01,2405
2018-12-02,2310
2018-12-03,2310
2018-12-04,2248
2018-12-05,2248
2018-12-07,2232
2018-12-09,2287
2018-12-10,2308
2018-12-11,2308
2018-12-12,2310
2018-12-13,2310
2018-12-14,2384
2018-12-15,2384
2018-12-16,2480
2018-12-17,2480
2018-12-18,2553
2018-12-19,2553
2018-12-20,2551
2018-12-21,2551
2018-12-22,2538
2018-12-23,2542
2018-12-24,2542
2018-12-25,2594
2018-12-26,2594
2018-12-27,2541
2018-12-28,2541
2018-12-29,2445
2018-12-30,2445
2018-12-31,2349
2019-01-01,2349
2019-01-02,2372
2019-01-03,2372
2019-01-04,2346
2019-01-05,2311
2019-01-06,2329
2019-01-08,2327
2019-01-10,2382
2019-01-11,2382
2019-01-12,2372
2019-01-13,2364
2019-01-14,2364
2019-01-15,2289
2019-01-16,2289
2019-01-17,2215
2019-01-18,2215
2019-01-19,2152
2019-01-20,2142
2019-01-21,2142
2019-01-22,2167
2019-01-23,2224
2019-01-24,2224
2019-01-25,2247
2019-01-26,2247
2019-01-27,2224
2019-01-28,2224
2019-01-29,2171
2019-01-30,2171
2019-01-31,2191
2019-02-01,2207
2019-02-02,2207
2019-02-03,2270
2019-02-04,2270
2019-02-05,2330
2019-02-06,2330
2019-02-07,2418
2019-02-08,2418
2019-02-09,2451
2019-02-10,2451
2019-02-11,2491
2019-02-12,2491
2019-02-13,2401
2019-02-14,2401
2019-02-15,2297
2019-02-16,2297
2019-02-17,2240
2019-02-18,2240
2019-02-19,2251
2019-02-20,2251
2019-02-21,2277
2019-02-22,2277
2019-02-23,2363
2019-02-24,2363
2019-02-25,2339
2019-02-26,2339
2019-02-27,2283
2019-02-28,2283
2019-03-01,2312
2019-03-02,2312
2019-03-03,2281
2019-03-04,2258
2019-03-05,2258
2019-03-06,2308
2019-03-07,2308
2019-03-08,2368
2019-03-09,2368
2019-03-10,2402
2019-03-11,2402
2019-03-12,2375
2019-03-13,2375
2019-03-14,2309
2019-03-15,2309
