date_obj,Topaz%20bracelet price
2019-11-04,5504
2019-11-05,5504
2019-11-06,5504
2019-11-07,5504
2019-11-08,5504
2019-11-09,5504
2019-11-10,5563
2019-11-11,5563
2019-11-12,5563
2019-11-13,5563
2019-11-14,5563
2019-11-15,5563
2019-11-16,5563
2019-11-17,5615
2019-11-18,5615
2019-11-19,5615
2019-11-20,5615
2019-11-21,5615
2019-11-22,5615
2019-11-23,5615
2019-11-24,5615
2019-11-25,5476
2019-11-26,5476
2019-11-27,5476
2019-11-28,5476
2019-11-29,5476
2019-11-30,5476
2019-12-01,5476
2019-12-02,5476
2019-12-03,5279
2019-12-04,5279
2019-12-05,5279
2019-12-06,5279
2019-12-07,5279
2019-12-08,5279
2019-12-09,5279
2019-12-10,5279
2019-12-11,5279
2019-12-12,5279
2019-12-13,5279
2019-12-14,5279
2019-12-15,5045
2019-12-16,5045
2019-12-17,5045
2019-12-18,5045
2019-12-19,5045
2019-12-20,5045
2019-12-21,5045
2019-12-22,5045
2019-12-23,5045
2019-12-24,5016
2019-12-25,5016
2019-12-26,5016
2019-12-27,5016
2019-12-28,5016
2019-12-29,5016
2019-12-30,5137
2019-12-31,5137
2020-01-01,5137
2020-01-02,5137
2020-01-03,5137
2020-01-04,5137
2020-01-05,5137
2020-01-06,5199
2020-01-07,5199
2020-01-08,5199
2020-01-09,5199
2020-01-10,5199
2020-01-11,5199
2020-01-12,5199
2020-01-13,5199
2020-01-14,5199
2020-01-15,5175
2020-01-16,5175
2020-01-17,5175
2020-01-18,5175
2020-01-19,5266
2020-01-20,5266
2020-01-21,5266
2020-01-22,5266
2020-01-23,5266
2020-01-24,5266
2020-01-25,5266
2020-01-26,5266
2020-01-27,5266
2020-01-28,5266
2020-01-29,5325
2020-01-30,5325
2020-01-31,5325
2020-02-01,5325
2020-02-02,5325
2020-02-03,5325
2020-02-04,5325
2020-02-05,5412
2020-02-06,5412
2020-02-07,5412
2020-02-08,5412
2020-02-09,5412
2020-02-10,5412
2020-02-11,5412
2020-02-12,5412
2020-02-13,5331
2020-02-14,5331
2020-02-15,5331
2020-02-16,5331
2020-02-17,5331
2020-02-18,5331
2020-02-19,5331
2020-02-20,5337
2020-02-21,5337
2020-02-22,5337
2020-02-23,5337
2020-02-24,5337
2020-02-25,5337
2020-02-26,5337
2020-02-27,5337
2020-02-28,5363
2020-02-29,5363
2020-03-01,5363
2020-03-02,5363
2020-03-03,5363
2020-03-04,5524
2020-03-05,5524
2020-03-06,5524
2020-03-07,5524
2020-03-08,5524
2020-03-09,5524
2020-03-10,5633
2020-03-11,5633
2020-03-12,5633
2020-03-13,5633
2020-03-14,5633
2020-03-15,5633
2020-03-16,5677
2020-03-17,5677
2020-03-18,5677
2020-03-19,5677
2020-03-20,5677
2020-03-21,5677
2020-03-22,5677
2020-03-23,5745
2020-03-24,5745
2020-03-25,5745
2020-03-26,5926
2020-03-27,5926
2020-03-28,5926
2020-03-29,5926
2020-03-30,6016
2020-03-31,6016
2020-04-01,6016
2020-04-02,6016
2020-04-03,6016
2020-04-04,6016
2020-04-05,6016
2020-04-06,5731
2020-04-07,5731
2020-04-08,5731
2020-04-09,5731
2020-04-10,5731
2020-04-11,5645
2020-04-12,5645
2020-04-13,5645
2020-04-14,5645
2020-04-15,5596
2020-04-16,5596
2020-04-17,5596
2020-04-18,5596
2020-04-19,5389
2020-04-20,5389
2020-04-21,5389
2020-04-22,5389
2020-04-23,5389
2020-04-24,5389
2020-04-25,5186
2020-04-26,5186
2020-04-27,5186
2020-04-28,5186
2020-04-29,5186
2020-04-30,4956
2020-05-01,4956
2020-05-02,4956
2020-05-03,4956
2020-05-04,4956
2020-05-05,4939
2020-05-06,4939
2020-05-07,4939
2020-05-08,4982
2020-05-09,4982
2020-05-10,4982
2020-05-11,4982
2020-05-12,4982
2020-05-13,4869
