date_obj,Green%20d'hide%20vambraces price
2018-10-22,1285
2018-10-23,1283
2018-10-24,1282
2018-10-25,1311
2018-10-26,1310
2018-10-27,1314
2018-10-28,1302
2018-10-29,1287
2018-10-30,1304
2018-10-31,1306
2018-11-01,1321
2018-11-03,1333
2018-11-04,1327
2018-11-05,1325
2018-11-06,1332
2018-11-07,1334
2018-11-08,1330
2018-11-09,1319
2018-11-10,1336
2018-11-11,1319
2018-11-12,1325
2018-11-13,1316
2018-11-14,1294
2018-11-15,1288
2018-11-16,1298
2018-11-17,1293
2018-11-18,1273
2018-11-19,1292
2018-11-20,1274
2018-11-21,1265
2018-11-22,1278
2018-11-23,1290
2018-11-24,1297
2018-11-25,1296
2018-11-26,1258
2018-11-27,1253
2018-11-28,1272
2018-11-29,1269
2018-12-01,1262
2018-12-02,1252
2018-12-03,1260
2018-12-04,1254
2018-12-05,1265
2018-12-07,1253
2018-12-09,1259
2018-12-10,1260
2018-12-11,1264
2018-12-12,1264
2018-12-13,1282
2018-12-14,1269
2018-12-15,1272
2018-12-16,1248
2018-12-17,1281
2018-12-18,1281
2018-12-19,1272
2018-12-20,1274
2018-12-21,1267
2018-12-22,1262
2018-12-23,1271
2018-12-24,1279
2018-12-25,1272
2018-12-26,1272
2018-12-27,1272
2018-12-28,1244
2018-12-29,1255
2018-12-30,1251
2018-12-31,1236
2019-01-01,1244
2019-01-02,1240
2019-01-03,1232
2019-01-04,1241
2019-01-05,1252
2019-01-06,1245
2019-01-08,1249
2019-01-10,1268
2019-01-11,1277
2019-01-12,1274
2019-01-13,1261
2019-01-14,1255
2019-01-15,1275
2019-01-16,1277
2019-01-17,1300
2019-01-18,1279
2019-01-19,1278
2019-01-20,1247
2019-01-21,1231
2019-01-22,1249
2019-01-23,1255
2019-01-24,1245
2019-01-25,1263
2019-01-26,1276
2019-01-27,1269
2019-01-29,1252
2019-01-30,1269
2019-01-31,1276
2019-02-01,1279
2019-02-02,1276
2019-02-03,1279
2019-02-04,1268
2019-02-05,1264
2019-02-06,1280
2019-02-07,1291
2019-02-08,1289
2019-02-09,1294
2019-02-10,1297
2019-02-11,1298
2019-02-12,1294
2019-02-13,1285
2019-02-14,1245
2019-02-15,1274
2019-02-16,1294
2019-02-17,1304
2019-02-18,1301
2019-02-19,1276
2019-02-20,1292
2019-02-21,1284
2019-02-22,1302
2019-02-23,1315
2019-02-24,1329
2019-02-25,1325
2019-02-26,1325
2019-02-27,1316
2019-02-28,1288
2019-03-01,1305
2019-03-02,1303
2019-03-03,1303
2019-03-04,1303
2019-03-05,1334
2019-03-06,1340
2019-03-07,1326
2019-03-08,1359
2019-03-09,1361
2019-03-10,1370
2019-03-11,1391
