date_obj,Slayer's%20enchantment price
2019-11-11,1137
2019-11-12,1122
2019-11-13,1119
2019-11-14,1104
2019-11-15,1080
2019-11-16,1124
2019-11-17,1181
2019-11-18,1215
2019-11-19,1276
2019-11-20,1316
2019-11-21,1290
2019-11-22,1331
2019-11-23,1340
2019-11-24,1397
2019-11-25,1402
2019-11-26,1470
2019-11-27,1531
2019-11-28,1471
2019-11-29,1486
2019-11-30,1509
2019-12-01,1493
2019-12-02,1552
2019-12-03,1591
2019-12-04,1620
2019-12-05,1616
2019-12-06,1586
2019-12-07,1562
2019-12-08,1483
2019-12-09,1408
2019-12-10,1339
2019-12-11,1279
2019-12-12,1223
2019-12-13,1161
2019-12-14,1102
2019-12-15,1050
2019-12-16,997
2019-12-17,970
2019-12-18,923
2019-12-19,880
2019-12-20,855
2019-12-21,856
2019-12-22,893
2019-12-23,938
2019-12-24,983
2019-12-25,1015
2019-12-26,1051
2019-12-27,1033
2019-12-28,1050
2019-12-29,1094
2019-12-30,1050
2019-12-31,1054
2020-01-01,1056
2020-01-02,1053
2020-01-03,1045
2020-01-04,1049
2020-01-05,1100
2020-01-06,1125
2020-01-07,1150
2020-01-08,1208
2020-01-09,1257
2020-01-10,1204
2020-01-11,1260
2020-01-12,1323
2020-01-13,1390
2020-01-14,1343
2020-01-15,1368
2020-01-16,1398
2020-01-17,1450
2020-01-18,1469
2020-01-19,1478
2020-01-20,1439
2020-01-21,1368
2020-01-22,1357
2020-01-23,1411
2020-01-24,1458
2020-01-25,1513
2020-01-26,1495
2020-01-27,1476
2020-01-28,1486
2020-01-29,1553
2020-01-30,1547
2020-01-31,1475
2020-02-01,1401
2020-02-02,1460
2020-02-03,1511
2020-02-04,1521
2020-02-05,1503
2020-02-06,1537
2020-02-07,1566
2020-02-08,1587
2020-02-09,1666
2020-02-10,1718
2020-02-11,1804
2020-02-12,1864
2020-02-13,1909
2020-02-14,1967
2020-02-15,1964
2020-02-16,1880
2020-02-17,1801
2020-02-18,1773
2020-02-19,1784
2020-02-20,1729
2020-02-21,1666
2020-02-22,1582
2020-02-23,1529
2020-02-24,1457
2020-02-25,1384
2020-02-26,1342
2020-02-27,1286
2020-02-28,1301
2020-02-29,1359
2020-03-01,1322
2020-03-02,1259
2020-03-03,1211
2020-03-04,1162
2020-03-05,1157
2020-03-06,1207
2020-03-07,1184
2020-03-08,1124
2020-03-09,1067
2020-03-10,1080
2020-03-11,1134
2020-03-12,1190
2020-03-13,1250
2020-03-14,1313
2020-03-15,1373
2020-03-16,1423
2020-03-17,1495
2020-03-18,1570
2020-03-19,1649
2020-03-20,1728
2020-03-21,1775
2020-03-22,1829
2020-03-23,1853
2020-03-24,1926
2020-03-25,2023
2020-03-26,2116
2020-03-27,2179
2020-03-28,2251
2020-03-29,2174
2020-03-30,2144
2020-03-31,2142
2020-04-01,2106
2020-04-02,2164
2020-04-03,2251
2020-04-04,2251
2020-04-05,2138
2020-04-06,2031
2020-04-07,1929
2020-04-08,1943
2020-04-09,1906
2020-04-10,1875
2020-04-11,1848
2020-04-12,1940
2020-04-13,2010
2020-04-14,2040
2020-04-15,2045
2020-04-16,2079
2020-04-17,2126
2020-04-18,2158
2020-04-19,2155
2020-04-20,2209
2020-04-21,2195
2020-04-22,2218
2020-04-23,2227
2020-04-24,2251
2020-04-25,2345
2020-04-26,2413
2020-04-27,2295
2020-04-28,2200
2020-04-29,2179
2020-04-30,2176
2020-05-01,2091
2020-05-02,2071
2020-05-03,2043
2020-05-04,2037
2020-05-05,2040
2020-05-06,2071
2020-05-07,2129
2020-05-08,2225
2020-05-09,2249
2020-05-10,2137
2020-05-11,2074
2020-05-12,2072
2020-05-13,2064
