date_obj,Cavalier%20mask price
2018-06-29,95580
2018-06-30,95580
2018-07-01,95580
2018-07-02,95580
2018-07-03,95580
2018-07-04,95082
2018-07-05,95082
2018-07-06,95082
2018-07-07,95082
2018-07-08,95082
2018-07-09,95082
2018-07-10,95082
2018-07-11,95082
2018-07-12,95082
2018-07-13,95082
2018-07-14,95082
2018-07-15,95082
2018-07-16,95082
2018-07-17,92415
2018-07-18,92415
2018-07-19,92415
2018-07-20,92415
2018-07-21,92415
2018-07-22,92415
2018-07-23,92415
2018-07-24,91713
2018-07-25,91713
2018-07-26,91713
2018-07-27,91713
2018-07-28,91713
2018-07-29,91713
2018-07-30,91713
2018-07-31,92509
2018-08-01,92509
2018-08-02,92509
2018-08-03,92509
2018-08-04,92509
2018-08-05,92509
2018-08-06,92509
2018-08-07,91376
2018-08-08,91376
2018-08-09,91376
2018-08-10,91376
2018-08-11,91376
2018-08-12,91376
2018-08-14,93025
2018-08-16,93025
2018-08-17,93025
2018-08-18,93025
2018-08-19,93025
2018-08-20,94326
2018-08-21,94326
2018-08-22,94326
2018-08-23,94326
2018-08-24,94326
2018-08-25,94326
2018-08-26,96441
2018-08-27,96441
2018-08-28,96441
2018-08-29,96441
2018-08-30,96441
2018-08-31,96441
2018-09-01,94457
2018-09-02,94457
2018-09-03,94457
2018-09-04,94457
2018-09-05,94457
2018-09-06,94457
2018-09-07,94694
2018-09-08,94694
2018-09-09,94694
2018-09-10,94694
2018-09-11,94694
2018-09-12,94694
2018-09-13,96949
2018-09-14,96949
2018-09-15,96949
2018-09-16,96949
2018-09-17,96949
2018-09-18,97865
2018-09-19,97865
2018-09-20,97865
2018-09-21,97865
2018-09-22,97865
2018-09-23,97865
2018-09-24,97865
2018-09-25,98518
2018-09-26,98518
2018-09-27,98518
2018-09-28,98518
2018-09-29,98518
2018-09-30,98518
2018-10-01,98518
2018-10-02,100141
2018-10-03,100141
2018-10-04,100141
2018-10-05,100141
2018-10-06,100141
2018-10-07,103329
2018-10-08,103329
2018-10-09,103329
2018-10-10,103329
2018-10-11,103329
2018-10-12,103329
2018-10-13,103329
2018-10-14,103329
2018-10-15,103329
2018-10-16,103329
2018-10-17,103329
2018-10-18,103329
2018-10-19,105399
2018-10-20,105399
2018-10-21,105399
2018-10-22,105399
2018-10-23,105399
2018-10-24,105399
2018-10-25,105399
2018-10-26,107812
2018-10-27,107812
2018-10-28,107812
2018-10-29,107812
2018-10-30,107812
2018-10-31,107812
2018-11-01,110039
2018-11-03,110039
2018-11-04,110039
2018-11-05,111869
2018-11-06,111869
2018-11-07,111869
2018-11-08,111869
2018-11-09,116222
2018-11-10,116222
2018-11-11,116222
2018-11-12,121159
2018-11-13,121159
2018-11-14,121159
2018-11-15,126710
2018-11-16,126710
2018-11-17,126710
2018-11-18,131802
2018-11-19,131802
2018-11-20,131802
2018-11-21,131802
2018-11-22,137948
2018-11-23,137948
2018-11-24,137948
2018-11-25,144318
2018-11-26,144318
2018-11-27,144318
2018-11-28,144318
2018-11-29,151015
2018-12-01,151015
2018-12-02,151015
2018-12-03,157552
2018-12-04,157552
2018-12-05,157552
2018-12-07,163909
2018-12-09,163909
2018-12-10,166145
2018-12-11,166145
2018-12-12,166145
2018-12-13,166145
2018-12-14,166145
2018-12-15,164007
2018-12-16,164007
2018-12-17,164007
2018-12-18,164007
2018-12-19,164007
2018-12-20,161677
2018-12-21,161677
2018-12-22,161677
2018-12-23,161677
2018-12-24,157932
2018-12-25,157932
2018-12-26,157932
2018-12-27,157932
2018-12-28,157932
2018-12-29,151949
2018-12-30,151949
2018-12-31,151949
2019-01-01,151949
2019-01-02,144772
2019-01-03,144772
2019-01-04,144772
2019-01-05,144772
2019-01-06,139278
2019-01-08,139278
2019-01-10,139278
2019-01-11,133179
2019-01-12,133179
2019-01-13,133179
2019-01-14,133179
2019-01-15,129633
2019-01-16,129633
2019-01-17,129633
2019-01-18,129633
2019-01-19,129633
2019-01-20,124057
2019-01-21,124057
2019-01-22,124057
2019-01-23,124057
2019-01-24,124057
2019-01-25,119632
2019-01-26,119632
2019-01-27,119632
2019-01-28,119632
2019-01-29,119632
2019-01-30,115392
2019-01-31,115392
2019-02-01,115392
2019-02-02,115392
2019-02-03,115392
2019-02-04,113574
2019-02-05,113574
2019-02-06,113574
2019-02-07,113574
2019-02-08,113574
2019-02-09,108956
2019-02-10,108956
2019-02-11,108956
2019-02-12,108956
2019-02-13,108956
2019-02-14,103702
2019-02-15,103702
2019-02-16,103702
2019-02-17,103702
2019-02-18,99917
2019-02-19,99917
2019-02-20,99917
2019-02-21,99917
2019-02-22,99917
2019-02-23,95802
2019-02-24,95802
2019-02-25,95802
2019-02-26,95802
2019-02-27,95802
2019-02-28,95802
2019-03-01,95802
2019-03-02,95802
2019-03-03,95802
2019-03-04,91348
2019-03-05,91348
2019-03-06,91348
2019-03-07,91348
2019-03-08,91348
2019-03-09,88943
2019-03-10,88943
2019-03-11,88943
