date_obj,Book%20of%20law%20page%20set price
2018-05-09,857501
2018-05-10,881673
2018-05-11,886377
2018-05-12,909522
2018-05-13,909522
2018-05-14,943820
2018-05-15,943820
2018-05-16,982826
2018-05-17,1022985
2018-05-18,1073300
2018-05-19,1126965
2018-05-20,1168952
2018-05-21,1226916
2018-05-22,1226916
2018-05-23,1288262
2018-05-24,1333888
2018-05-25,1356437
2018-05-26,1422092
2018-05-27,1422092
2018-05-28,1454829
2018-05-29,1405411
2018-05-30,1405411
2018-05-31,1381914
2018-06-01,1348096
2018-06-02,1300278
2018-06-03,1300278
2018-06-04,1275900
2018-06-05,1230072
2018-06-06,1176962
2018-06-07,1176962
2018-06-08,1127883
2018-06-09,1127883
2018-06-10,1076215
2018-06-11,1076215
2018-06-12,1049864
2018-06-13,1014110
2018-06-14,999412
2018-06-15,999412
2018-06-16,980179
2018-06-17,951548
2018-06-18,959788
2018-06-19,963625
2018-06-20,963625
2018-06-21,948735
2018-06-22,935368
2018-06-23,935368
2018-06-24,939835
2018-06-25,925187
2018-06-26,915836
2018-06-27,917859
2018-06-28,944389
2018-06-29,987678
2018-06-30,1035711
2018-07-01,1060740
2018-07-02,1060740
2018-07-03,1093314
2018-07-04,1075603
2018-07-05,1075603
2018-07-06,1056620
2018-07-07,1047630
2018-07-08,1031509
2018-07-09,1025949
2018-07-10,1060602
2018-07-11,1086859
2018-07-12,1124098
2018-07-13,1153126
2018-07-14,1175391
2018-07-15,1175146
2018-07-16,1214880
2018-07-17,1268673
2018-07-18,1319909
2018-07-19,1339216
2018-07-20,1320115
2018-07-21,1323302
2018-07-22,1336104
2018-07-23,1326798
2018-07-24,1300865
2018-07-25,1257803
2018-07-26,1245404
2018-07-27,1229136
2018-07-28,1250634
2018-07-29,1261691
2018-07-30,1258543
2018-07-31,1255549
2018-08-01,1255549
2018-08-02,1234729
2018-08-03,1225001
2018-08-04,1247070
2018-08-05,1255235
2018-08-06,1239140
2018-08-07,1234439
2018-08-08,1232811
2018-08-09,1232811
2018-08-10,1212347
2018-08-11,1226044
2018-08-12,1287276
2018-08-14,1278752
2018-08-16,1262807
2018-08-17,1274138
2018-08-18,1261726
2018-08-19,1305800
2018-08-20,1325451
2018-08-21,1304109
2018-08-22,1290800
2018-08-23,1275526
2018-08-24,1280048
2018-08-25,1330741
2018-08-26,1376823
2018-08-27,1382232
2018-08-28,1377866
2018-08-29,1368008
2018-08-30,1364972
2018-08-31,1376548
2018-09-01,1438542
2018-09-02,1480685
2018-09-03,1481823
2018-09-04,1454060
2018-09-05,1434350
2018-09-06,1434350
2018-09-07,1396216
2018-09-08,1399790
2018-09-09,1357570
2018-09-10,1304703
2018-09-11,1304703
2018-09-12,1288025
2018-09-13,1286288
2018-09-14,1274002
2018-09-15,1268949
2018-09-16,1268949
2018-09-17,1275338
2018-09-18,1319412
2018-09-19,1319412
2018-09-20,1297627
2018-09-21,1314290
2018-09-22,1348938
2018-09-23,1370958
2018-09-24,1370767
2018-09-25,1370767
2018-09-26,1381988
2018-09-27,1399161
2018-09-28,1432806
2018-09-29,1393342
2018-09-30,1384562
2018-10-01,1374359
2018-10-02,1387661
2018-10-03,1415525
2018-10-04,1415525
2018-10-05,1419018
2018-10-06,1439690
2018-10-07,1439690
2018-10-08,1391729
2018-10-09,1332082
2018-10-10,1315131
2018-10-11,1294801
2018-10-12,1315433
2018-10-13,1341891
2018-10-14,1340979
2018-10-15,1354359
2018-10-16,1354359
2018-10-17,1333646
2018-10-18,1310193
2018-10-19,1291933
2018-10-20,1291933
2018-10-21,1279124
2018-10-22,1259812
2018-10-23,1259812
2018-10-24,1236278
2018-10-25,1187793
2018-10-26,1158874
2018-10-27,1143985
2018-10-28,1129818
2018-10-29,1129818
2018-10-30,1092624
2018-10-31,1079396
2018-11-01,1074013
2018-11-03,1072126
2018-11-04,1101205
2018-11-05,1133065
2018-11-06,1179453
2018-11-07,1217859
2018-11-08,1243467
2018-11-09,1302968
2018-11-10,1359205
2018-11-11,1401144
2018-11-12,1464667
2018-11-13,1485502
2018-11-15,1609708
2018-11-16,1667957
2018-11-17,1738305
2018-11-18,1787443
2018-11-19,1756310
2018-11-20,1707311
2018-11-21,1658075
2018-11-22,1610470
2018-11-23,1567053
2018-11-24,1546025
2018-11-25,1565783
2018-11-26,1604741
2018-11-27,1629908
2018-11-28,1658749
