date_obj,Seercull price
2018-06-30,24938
2018-07-01,24704
2018-07-02,24743
2018-07-03,24990
2018-07-04,24974
2018-07-05,25615
2018-07-06,26834
2018-07-07,28139
2018-07-08,29149
2018-07-09,30447
2018-07-10,31508
2018-07-11,32316
2018-07-12,32276
2018-07-13,31864
2018-07-14,31098
2018-07-15,30675
2018-07-16,30876
2018-07-17,31527
2018-07-18,32125
2018-07-19,32410
2018-07-20,30966
2018-07-21,29913
2018-07-22,28760
2018-07-23,28265
2018-07-24,26883
2018-07-25,25538
2018-07-26,25830
2018-07-27,26597
2018-07-28,26625
2018-07-29,26841
2018-07-30,27329
2018-07-31,27335
2018-08-01,28200
2018-08-02,29254
2018-08-03,28841
2018-08-04,28852
2018-08-05,29404
2018-08-06,29296
2018-08-07,27831
2018-08-08,27063
2018-08-09,26766
2018-08-10,26593
2018-08-11,26681
2018-08-12,25713
2018-08-14,24021
2018-08-16,23976
2018-08-17,23751
2018-08-18,23502
2018-08-19,23158
2018-08-20,22470
2018-08-21,21346
2018-08-22,20314
2018-08-23,21022
2018-08-24,21320
2018-08-25,21500
2018-08-26,21947
2018-08-27,21242
2018-08-28,20548
2018-08-29,20626
2018-08-30,20892
2018-08-31,20466
2018-09-01,20192
2018-09-02,19831
2018-09-03,19143
2018-09-04,19729
2018-09-05,20427
2018-09-06,20427
2018-09-07,20799
2018-09-08,21591
2018-09-09,21581
2018-09-10,21652
2018-09-11,22082
2018-09-12,22483
2018-09-13,23149
2018-09-14,23927
2018-09-15,23685
2018-09-16,24102
2018-09-17,24066
2018-09-18,23394
2018-09-19,23377
2018-09-20,24016
2018-09-21,24568
2018-09-22,24848
2018-09-23,24737
2018-09-24,24849
2018-09-25,23606
2018-09-26,23079
2018-09-27,23756
2018-09-28,24534
2018-09-29,24114
2018-09-30,24280
2018-10-02,24667
2018-10-03,24930
2018-10-04,25232
2018-10-05,25494
2018-10-06,26144
2018-10-07,26766
2018-10-08,27852
2018-10-09,28683
2018-10-10,29631
2018-10-11,30021
2018-10-12,30584
2018-10-13,29195
2018-10-14,27735
2018-10-15,26930
2018-10-16,27840
2018-10-17,28431
2018-10-18,28443
2018-10-19,29488
2018-10-20,30370
2018-10-21,30509
2018-10-22,30786
2018-10-23,30838
2018-10-24,31008
2018-10-25,29675
2018-10-26,28403
2018-10-27,27721
2018-10-28,26413
2018-10-29,25638
2018-10-30,25303
2018-10-31,25205
2018-11-01,25255
2018-11-03,25014
2018-11-04,24648
2018-11-05,23415
2018-11-06,23184
2018-11-07,23125
2018-11-08,23218
2018-11-09,23190
2018-11-10,23141
2018-11-11,23022
2018-11-12,22914
2018-11-13,22545
2018-11-14,22577
2018-11-15,22843
2018-11-16,23246
2018-11-17,23334
2018-11-18,23188
2018-11-19,23427
2018-11-20,23514
2018-11-21,23566
2018-11-22,22521
2018-11-23,22386
2018-11-24,23023
2018-11-25,22828
2018-11-26,23655
2018-11-27,24485
2018-11-28,25212
2018-11-29,25500
2018-12-01,25663
2018-12-02,25799
2018-12-03,25848
2018-12-04,25450
2018-12-05,24987
2018-12-07,26884
2018-12-09,25732
2018-12-10,25057
2018-12-11,23948
2018-12-12,24410
2018-12-13,25101
2018-12-14,25542
2018-12-15,25796
2018-12-16,26126
2018-12-17,25218
2018-12-18,24712
2018-12-19,24525
2018-12-20,24647
2018-12-21,25396
2018-12-22,24784
2018-12-23,24329
2018-12-24,23992
2018-12-25,23547
2018-12-26,23611
2018-12-27,24213
2018-12-28,25041
2018-12-29,25950
2018-12-30,24756
2018-12-31,24126
2019-01-01,24361
2019-01-02,25406
2019-01-03,26677
2019-01-04,27941
2019-01-05,29117
2019-01-06,29224
2019-01-08,28615
2019-01-10,28604
2019-01-11,28027
2019-01-12,27037
2019-01-13,26039
2019-01-14,25787
2019-01-15,26768
2019-01-16,25996
2019-01-17,26398
2019-01-18,25952
2019-01-19,24665
2019-01-20,23524
2019-01-21,23273
2019-01-22,22386
2019-01-23,21266
2019-01-24,20686
2019-01-25,20750
2019-01-26,21311
2019-01-27,20783
2019-01-28,20306
2019-01-29,20590
2019-01-30,21175
2019-01-31,22050
2019-02-01,22120
2019-02-02,21153
2019-02-03,20798
2019-02-04,21281
2019-02-05,20490
2019-02-06,20410
2019-02-07,20527
2019-02-08,19523
2019-02-09,18546
2019-02-10,18067
2019-02-11,17519
2019-02-12,17493
2019-02-13,18114
2019-02-14,19004
2019-02-15,19553
2019-02-16,19661
2019-02-17,19417
2019-02-18,20010
2019-02-19,20321
2019-02-20,20402
2019-02-21,20418
2019-02-22,19995
2019-02-23,20298
2019-02-24,20718
2019-02-25,21404
2019-02-26,21667
2019-02-27,21716
2019-02-28,21279
2019-03-01,21274
2019-03-02,20986
2019-03-03,20169
2019-03-04,19199
2019-03-05,18297
2019-03-06,18407
2019-03-07,18350
2019-03-08,19133
2019-03-09,19849
2019-03-10,19852
2019-03-11,19580
2019-03-12,19891
2019-03-13,19978
2019-03-14,20103
2019-03-15,19650
2019-03-16,19356
2019-03-17,19358
2019-03-18,19063
2019-03-19,19113
2019-03-20,19346
2019-03-21,19086
2019-03-22,18579
2019-03-23,18771
2019-03-24,19650
2019-03-25,20319
2019-03-26,20270
2019-03-27,19950
2019-03-28,19776
2019-03-29,19593
2019-03-30,19580
2019-03-31,19633
2019-04-01,19812
